   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.659968        1.88726        151.827        6.16513        2.30145        4.06387       -920.442     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0600_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         1       0.500499        1.82757        194.323        1.17723        5.54037        3.45086       -846.093     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0605_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         2       0.541694        1.81507         195.34        1.27105        1.38676        1.31623       -577.761     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0610_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         3         0.5208        1.82803        203.802        1.60393        3.06831        2.35227       -718.638     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0615_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         4        0.56276        1.80752       -165.519        2.37027        3.80541        3.09394       -822.879     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0620_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         5        0.50111        1.83746       -193.778        7.26551        2.56148        4.71016       -1000.25     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0625_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         6       0.977424        1.61458       -218.257        6.57397         13.427        10.0874       -1801.44     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0630_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         7       0.513775        1.57806       -186.797          1.797        6.06878        4.01517       -914.478     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0635_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         8       0.763306        1.83172       -176.536        13.1528        14.9198         13.919       -2139.19     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0640_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
         9       0.580609        1.59759       -176.816        1.28219         1.9072         1.5943       -612.242     /gpfs/abroderick/EHT2/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/image_a+0.5_0645_163_0_230.e9_6.2e9_2.02097e+28_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/VM_simdata_3598_seed=23_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM/SANE/SANE_a+0.5_288x128x128_IHARM/m_1_1_40/CP_simdata_3598_seed=23_netcal_scanavg_cphase.d
