   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.602926        1.77204        148.649          3.456        2.97728        3.11764       -534.696     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0600_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         1       0.645853        1.91435        148.343        3.87823        3.08624        3.35759       -557.567     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0606_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         2       0.511275        1.78991        189.359        1.12214       0.612573       0.816378       -381.342     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0612_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         3       0.561161        1.75246        144.458         1.9658        1.76858        1.81487       -444.622     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0618_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         4       0.501068        1.71842        193.336        1.61029       0.859778        1.16085       -396.881     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0624_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         5       0.536099        1.62764        157.052        1.09324       0.961971       0.997365        -391.28     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0630_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         6       0.503489        1.79186        177.219         1.2128       0.808509       0.963346       -381.653     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0636_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         7       0.553839         1.9404        167.178        1.40374         1.1202        1.21702       -399.024     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0642_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         8       0.470766        1.54973        181.185        3.13978        0.83982        1.80066       -444.426     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0648_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
         9       0.532272        1.82202        182.118         1.0173       0.826903       0.890329       -382.428     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0654_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
        10       0.519172        1.97215       -188.505       0.665778       0.680786       0.659915       -362.014     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0660_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
        11       0.539861         1.8977       -168.377       0.951494        1.27967        1.11279       -397.196     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0666_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
        12       0.548317        1.85013       -202.768        1.60662        2.04333        1.81402       -440.023     /gpfs/abroderick/EHT2/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0672_168_0_230.e9_6.2e9_3.50564e+27_40.dat     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/VM_simdata_3597_seed=12_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/IHARM_inc-5/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/CP_simdata_3597_seed=12_netcal_scanavg_cphase.d
