   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName     VA Data file     CP Data file
         0       0.659073        2.41534        89.3982        17.5985        19.5992        18.3468        -1566.3     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1007.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         1       0.561051        2.07824        85.6343        8.86584         3.1924        5.46638       -688.763     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1017.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         2       0.621313        2.15463        102.071        20.4544        31.2783        26.1276       -2093.16     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1027.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         3        0.41649         2.3105        83.8065         9.4572         8.0795        8.47291       -873.012     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1037.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         4       0.537476        2.40169         93.122        12.7233        36.2884        25.7661       -2074.27     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1047.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         5        1.98928        6.26283       -11.9241        87.0371        98.8962         91.848       -6730.75     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1057.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         6       0.578126        2.75342        84.6791        17.3597        32.6695        25.6357       -2066.55     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1067.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         7       0.452608        2.39799        93.1203        18.7661        13.8428        15.5754        -1362.7     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1077.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         8       0.971809        2.21128        133.711        12.7197        37.9701        26.7152        -2176.2     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1087.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
         9       0.536432        2.41752        81.6156        9.42284        6.50718        7.57001       -811.071     /gpfs/abroderick/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/IHARMformat_koralM87_MAD_H10_sigcut1_1097.dat     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/VM_simdata_3597_seed=13_netcal_scanavg.d     /gpfs/abroderick/EHT2/Fastball/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-H10/CP_simdata_3597_seed=13_netcal_scanavg_cphase.d
