   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.95355        3.36312       -205.333         94.784        122.308        108.564         -15862     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.817013        3.62747        -157.79         30.173        44.9317        37.8051       -5323.98     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2       0.938376        3.90754       -169.758        26.8048        68.6927        49.1582       -6739.55     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.771243        3.70819       -179.057        5.91983         44.791        26.8864       -3883.89     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4       0.665142        3.68594       -181.984        4.59202        38.8585        23.0822       -3398.54     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5       0.825979        3.35064       -176.596        12.0719        16.7571        14.4654       -2366.62     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         6       0.818255        3.78917       -179.693        20.9445        18.2414        19.2353       -2930.93     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1060_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         7       0.692214          3.767       -166.017         8.6061        56.8509        34.6138        -4872.3     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1070_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         8       0.603921        3.67012       -170.792        4.57542        11.7809        8.42105        -1549.1     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1080_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         9       0.775772        3.69897       -183.967        18.9542        43.4555        31.9907       -4586.78     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1090_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        10        0.77276        3.64948       -194.293        18.8019        52.4581        36.7946       -5209.44     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1100_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        11       0.732424        3.77514       -205.165        6.39389        37.7297        23.2769       -3464.53     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1110_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        12       0.935865         3.7016       -213.285        22.2619        15.7045        18.4513       -2892.98     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1120_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        13        1.43701        3.47179       -219.427        56.0851        60.3014         57.707       -8063.38     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1130_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        14       0.908757        3.60163       -195.299        7.69246        12.2271         10.056       -1836.54     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1140_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        15       0.770679        3.65783       -188.435        16.3349        19.6873         17.957       -2803.65     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1150_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        16       0.760469        3.90076       -177.737        3.49904        9.73025        6.83006        -1336.2     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1160_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        17       0.796744        3.56586       -196.265        11.2932        17.6003        14.5736       -2338.47     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1170_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        18        1.01626        3.49181       -213.807        45.8372        21.0012        31.8573       -4616.87     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1180_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        19       0.711213        3.80114       -191.955        9.52641        6.85633        7.96935       -1492.78     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1190_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        20       0.842574        3.80954       -199.139        14.2708        10.6925        12.1664       -2047.16     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1200_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        21       0.716931        3.80932       -195.375        8.03096        13.7995        11.0583       -1891.21     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1210_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        22       0.860355        3.49441       -216.717        7.53718        11.9263        9.82378       -1776.99     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1220_163_0_230.e9_6.2e9_7.48745e+24_20.dat
