   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.842759        3.63731       -203.996         11.672        16.2776        14.0272       -2263.19     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0600_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         1         1.6125        3.50568       -234.114        33.8697        101.413        70.0243          -9755     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0606_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         2        0.71446        3.37747       -157.204        14.8878        24.9751        20.1716       -3071.76     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0612_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         3       0.713472        3.44711       -182.528        8.27734        9.90096        9.05863       -1639.49     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0618_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         4       0.695853        3.61005       -159.384        14.5516        6.75001        10.1584       -1747.49     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0624_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         5       0.653132          3.231       -170.277        5.60519        12.7509        9.40632       -1656.63     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0630_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         6         1.0382        3.85979       -174.051        52.8106        14.7251        31.5783       -4501.73     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0636_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         7       0.768483        3.81661       -170.316        13.9408        8.33563        10.7434       -1834.48     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0642_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         8       0.804279        3.50769       -175.898        21.4604        33.8624        27.9196       -4036.51     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0648_163_0_230.e9_7.2e9_5.63114e+27_40.dat
         9       0.851245        3.48749       -177.501        19.3157        27.9308        23.7507       -3538.28     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0654_163_0_230.e9_7.2e9_5.63114e+27_40.dat
        10        1.04693        4.01442       -178.698        12.9987        8.15427        10.2241        -1805.2     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_40/image_a+0.94_0660_163_0_230.e9_7.2e9_5.63114e+27_40.dat
