   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0         1.0271         4.7649        194.636        12.6951        40.7426        26.6537       -2369.27     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1000_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         1       0.606213        4.43122        176.765        22.9853        49.9862        36.2134       -3193.09     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1010_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         2       0.914188        4.74063        229.115        42.1869        46.1124        43.3533       -3653.69     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1020_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         3        1.31652        4.83652        204.682        46.9699        64.0479        54.7048       -4830.23     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1030_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         4       0.590959        4.73324         111.71        19.6108        13.3541        16.0598       -1723.28     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1040_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         5       0.678014        4.69275        193.276        46.2648        39.1597        41.7648       -3550.65     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1050_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         6       0.580322        4.79358        199.151        55.0583         44.443        48.6092        -4371.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1060_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         7       0.647413        4.79241        193.683         69.544        42.6315        54.5582       -4590.02     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1070_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         8       0.839477        4.62208        -26.569        38.2713        54.9301        45.9633       -3891.08     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1080_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
         9       0.942016        4.72335        72.6215        32.0858        36.7007        33.7981       -2919.43     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_80/image_SANE_a-0.94_1090_17_0_230.e9_6.2e9_1.73e+29_1_80.dat
