   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.774933        4.88589        46.2836        40.6684        29.4811        33.8155        -1643.4     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.568e+25_20.dat
         1       0.866238        5.31686       -174.776        36.0626        12.8677        23.4993       -1198.45     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.568e+25_20.dat
         2        0.54802        4.79959       -276.788        36.5951        29.9235        32.0876       -1766.11     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.568e+25_20.dat
         3        1.85308        9.76922       -258.721         89.751        61.4045        72.8402       -3597.36     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.568e+25_20.dat
         4        0.67044        4.91207       -296.337        69.7416        58.0596        61.6558       -2892.11     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.568e+25_20.dat
         5       0.769504        5.04346       -256.877        102.336        47.3157        71.9621       -3348.15     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.568e+25_20.dat
         6       0.617925        5.28222       -300.504        116.117        37.5809        73.7828       -4533.69     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.568e+25_20.dat
         7       0.627892        5.09922       -123.184        39.6784        32.5505        34.8428       -1726.95     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.568e+25_20.dat
         8       0.547303        5.13853        69.1267        65.8671        42.7372        52.3196       -2613.87     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.568e+25_20.dat
         9        1.09423        5.21943       -128.329        79.8832         30.283        52.9235       -2484.37     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.568e+25_20.dat
        10       0.590098        4.36728       -182.317          63.43        16.4414        38.3073       -1959.51     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.568e+25_20.dat
        11       0.588327        4.99834       -118.976         63.129        21.5783        40.6737       -2108.96     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.568e+25_20.dat
        12       0.646465        5.23889       -226.073        37.2164        50.5102        42.4435       -2046.69     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1120_163_0_230.e9_6.2e9_1.568e+25_20.dat
        13       0.579976        5.04295       -204.118        13.7397        9.07296        10.9909       -705.625     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1130_163_0_230.e9_6.2e9_1.568e+25_20.dat
        14       0.637015        5.32302       -285.532        22.2588        14.3783        17.6493       -1382.12     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1140_163_0_230.e9_6.2e9_1.568e+25_20.dat
        15       0.954904        5.00231       -275.621        25.0029         19.762        21.5896       -1111.63     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1150_163_0_230.e9_6.2e9_1.568e+25_20.dat
        16       0.796084        4.89573       -186.204        38.4007        25.7738        30.9216       -1508.57     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1160_163_0_230.e9_6.2e9_1.568e+25_20.dat
        17       0.854828        4.56872        -107.11        13.5555        32.9294        22.5602       -1161.49     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1170_163_0_230.e9_6.2e9_1.568e+25_20.dat
        18        0.91114        4.74596        164.866        78.2019        21.9212        48.0352       -2271.29     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1180_163_0_230.e9_6.2e9_1.568e+25_20.dat
        19       0.565812         4.5706        203.125        51.5933        39.7827        44.0633       -2142.31     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1190_163_0_230.e9_6.2e9_1.568e+25_20.dat
        20       0.689401        3.93392        220.291        91.5657        46.8403        66.5897       -3112.94     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.5/m_1_1_20/image_a+0.5_1200_163_0_230.e9_6.2e9_1.568e+25_20.dat
