   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.913869         4.5218       -183.157        33.9051         3.8255        18.4968       -3002.24     /gpfs/hpu/Jplus_Score/part2/part2_im001.txt
         1       0.854383        4.49607       -187.529        27.0102        5.76662        15.7243       -1538.58     /gpfs/hpu/Jplus_Score/part2/part2_im002.txt
         2       0.802504         4.6573       -172.381        35.7094        10.6462        22.2453       -1127.53     /gpfs/hpu/Jplus_Score/part2/part2_im003.txt
         3       0.761912        3.57948       -179.171        46.8894        1.79799        24.0367       -1266.27     /gpfs/hpu/Jplus_Score/part2/part2_im004.txt
         4       0.804971        3.07013       -177.865        40.6907        3.07966         21.577       -1148.23     /gpfs/hpu/Jplus_Score/part2/part2_im005.txt
         5       0.791056        3.60488       -176.934        59.9411        9.05948        34.7268       -4165.32     /gpfs/hpu/Jplus_Score/part2/part2_im006.txt
         6       0.883281        3.91174       -172.117        46.7668        19.7223        33.0958       -3937.99     /gpfs/hpu/Jplus_Score/part2/part2_im007.txt
         7       0.872062        4.91629        -183.38        31.8879        13.1866        21.7943       -1145.04     /gpfs/hpu/Jplus_Score/part2/part2_im008.txt
         8       0.832342        4.48383       -177.063        32.1677        4.12386        16.0888       -798.102     /gpfs/hpu/Jplus_Score/part2/part2_im009.txt
         9       0.843861         3.0475       -178.412        56.3478         4.8174        30.6352       -3688.58     /gpfs/hpu/Jplus_Score/part2/part2_im010.txt
        10       0.777079        4.14797        -171.37        23.9752        5.37037        14.3935       -811.021     /gpfs/hpu/Jplus_Score/part2/part2_im011.txt
        11       0.909629        3.96693       -186.666        48.8355        7.02974        27.5355       -3318.38     /gpfs/hpu/Jplus_Score/part2/part2_im012.txt
        12       0.794184          4.123        -177.39        51.5375        5.83324        28.7103       -3488.78     /gpfs/hpu/Jplus_Score/part2/part2_im013.txt
        13       0.785172        2.95993       -182.978        71.4042         3.7894        37.7012       -4482.88     /gpfs/hpu/Jplus_Score/part2/part2_im014.txt
        14        0.77104        3.75633       -207.695        30.2933        9.03723        19.6873        -2592.3     /gpfs/hpu/Jplus_Score/part2/part2_im015.txt
        15       0.796718        4.89709        -189.69        20.1242        7.90486        13.5431       -1363.19     /gpfs/hpu/Jplus_Score/part2/part2_im016.txt
        16       0.946803         3.6583       -181.806        64.7184        3.78906        34.6225       -4160.18     /gpfs/hpu/Jplus_Score/part2/part2_im017.txt
        17       0.807064        4.56241       -180.107        43.2315        1.80001        21.6844       -1997.91     /gpfs/hpu/Jplus_Score/part2/part2_im018.txt
        18       0.848059         4.7415        -170.34        32.2728          10.91        21.5883       -2719.87     /gpfs/hpu/Jplus_Score/part2/part2_im019.txt
        19        0.73841        4.74402       -168.648         50.673        15.6251        33.1753       -3999.62     /gpfs/hpu/Jplus_Score/part2/part2_im020.txt
        20       0.946253        3.63664       -179.573         50.487        1.81594        25.7817       -4037.22     /gpfs/hpu/Jplus_Score/part2/part2_im021.txt
        21       0.765787        4.11408       -172.429        47.4258        5.23567        25.2186       -1298.82     /gpfs/hpu/Jplus_Score/part2/part2_im022.txt
        22       0.858762        4.54162       -172.538        19.9778        5.87918        12.6754       -1687.28     /gpfs/hpu/Jplus_Score/part2/part2_im023.txt
        23         1.0083        4.16243        -184.91        24.8986        6.89356        15.5235       -2593.17     /gpfs/hpu/Jplus_Score/part2/part2_im024.txt
        24       0.859416        4.01872       -177.894        36.3832        2.37808        18.2151       -1695.28     /gpfs/hpu/Jplus_Score/part2/part2_im025.txt
        25       0.893615        4.08368       -180.193        25.3647        1.31161         12.852       -1705.11     /gpfs/hpu/Jplus_Score/part2/part2_im026.txt
        26        0.74277        4.07363       -181.986        54.4231        5.73855        29.0342        -2585.7     /gpfs/hpu/Jplus_Score/part2/part2_im027.txt
        27       0.930683        4.23551       -178.388        39.0924        5.60176        22.3468       -2772.45     /gpfs/hpu/Jplus_Score/part2/part2_im028.txt
        28       0.666746        3.12131       -178.972        81.2024        5.44155        41.7604        -3597.5     /gpfs/hpu/Jplus_Score/part2/part2_im029.txt
        29       0.864102        3.55627       -204.556        27.0581        14.1932        20.4575       -2574.04     /gpfs/hpu/Jplus_Score/part2/part2_im030.txt
        30       0.971202         5.2402       -183.831        23.5921        6.40384        14.6023       -835.312     /gpfs/hpu/Jplus_Score/part2/part2_im031.txt
        31       0.823018        4.47534        -176.79        22.0281        2.71531        11.1081       -1098.37     /gpfs/hpu/Jplus_Score/part2/part2_im032.txt
        32       0.821382        3.83243       -170.679        25.4197        6.03604        15.3204       -861.295     /gpfs/hpu/Jplus_Score/part2/part2_im033.txt
        33       0.745741         4.3095       -186.261        39.7036        7.48234        22.8152       -1190.28     /gpfs/hpu/Jplus_Score/part2/part2_im034.txt
        34       0.690629        4.04223       -176.733         42.382        2.29422        21.8162       -1138.73     /gpfs/hpu/Jplus_Score/part2/part2_im035.txt
        35       0.750294        4.02004       -181.653        52.2744         1.9399        26.4832       -1350.52     /gpfs/hpu/Jplus_Score/part2/part2_im036.txt
        36        0.83835        3.52408       -180.489        121.933       0.894165        62.4585        -9469.6     /gpfs/hpu/Jplus_Score/part2/part2_im037.txt
        37       0.905912        3.03809       -178.265        94.7495        1.38646        48.8667       -7526.02     /gpfs/hpu/Jplus_Score/part2/part2_im038.txt
        38       0.656354        3.61858       -221.989        37.9529        19.1552        27.8193       -1460.18     /gpfs/hpu/Jplus_Score/part2/part2_im039.txt
        39       0.800028         4.2342       -188.663        19.8819        3.39021        11.0585       -645.487     /gpfs/hpu/Jplus_Score/part2/part2_im040.txt
        40       0.801646        4.05768       -177.199        49.5342        5.65572        26.6424       -2376.26     /gpfs/hpu/Jplus_Score/part2/part2_im041.txt
        41       0.665899        3.01309       -179.837        91.3366         2.3703         45.097       -3845.41     /gpfs/hpu/Jplus_Score/part2/part2_im042.txt
        42       0.870752        4.54693       -180.713        15.4937        1.79822        7.94622       -481.213     /gpfs/hpu/Jplus_Score/part2/part2_im043.txt
        43       0.708524        3.17036       -168.978        75.8892        13.7283        45.9392       -5280.65     /gpfs/hpu/Jplus_Score/part2/part2_im044.txt
        44        0.69814         3.1914       -169.467         18.118        7.37569        12.3984       -1318.01     /gpfs/hpu/Jplus_Score/part2/part2_im045.txt
        45       0.953695        3.46291       -181.086        94.8984        3.43917        50.8001        -7497.3     /gpfs/hpu/Jplus_Score/part2/part2_im046.txt
        46       0.786294        3.56709       -170.197        41.0677        5.13909        21.0291       -1859.27     /gpfs/hpu/Jplus_Score/part2/part2_im047.txt
        47       0.840355        4.13008       -161.574        22.4836        6.38473          14.42       -1958.04     /gpfs/hpu/Jplus_Score/part2/part2_im048.txt
        48       0.916176        4.35396       -180.749         14.294        3.09747        8.13848       -492.167     /gpfs/hpu/Jplus_Score/part2/part2_im049.txt
        49       0.766182         3.1746       -152.237        28.3886        5.11483        16.3226       -891.823     /gpfs/hpu/Jplus_Score/part2/part2_im050.txt
        50       0.842334        3.53547        182.544        67.6152        2.24572        35.0511       -4166.44     /gpfs/hpu/Jplus_Score/part2/part2_im051.txt
        51       0.937278        3.01516        175.203         68.355        2.91096        36.4283       -5555.88     /gpfs/hpu/Jplus_Score/part2/part2_im052.txt
        52       0.759702        4.01532        176.705         42.233        3.57146        21.4231       -1936.46     /gpfs/hpu/Jplus_Score/part2/part2_im053.txt
        53        0.84275        4.11138        184.548        42.4567        6.39555        23.9913       -2902.43     /gpfs/hpu/Jplus_Score/part2/part2_im054.txt
