   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.639205        3.59861       -180.197       0.244318       0.329341       0.287456       -178.227     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.560913        3.91705       -166.794       0.382402       0.121476       0.236696       -169.102     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.570669        3.65262       -157.237       0.234458       0.282691       0.257802       -169.695     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.507264         3.7825       -160.383       0.435414       0.743039       0.596771       -228.302     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.629006        3.42661       -158.894       0.266135       0.275369       0.268001       -188.667     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.616408        3.63631       -172.776        0.59296        0.10743       0.323227        -212.84     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.479403        3.88015       -171.568         0.2186       0.220932        0.21729       -182.231     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.548886        3.90317       -194.304       0.396601       0.420452       0.404843       -202.196     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.589931        3.86489       -175.806       0.279221       0.157455       0.210039       -183.864     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9        0.54029        3.46255        -204.73       0.505082       0.354681       0.417747       -242.718     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.730177        3.77699       -304.479       0.441788         1.8711         1.2101       -293.413     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        11       0.540619        3.81491       -194.749        0.13296       0.132776       0.131296        -166.24     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        12       0.564822        3.78791       -203.766       0.193701       0.111123       0.146733       -165.964     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1120_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        13       0.535861        3.75568        -224.47       0.510582        0.47575       0.485725        -215.01     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1130_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        14       0.651601         3.9761       -157.246       0.547643        1.00631       0.789421       -250.124     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1140_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        15       0.616997        3.44202       -140.197       0.368665       0.967661        0.68849       -267.428     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1150_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        16       0.656893         3.5195       -162.914       0.475017       0.801911       0.646336       -204.523     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1160_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        17       0.640997        3.32811       -217.831       0.245149       0.241757       0.240429       -145.546     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1170_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        18       0.717661        3.27063       -145.361       0.506092       0.142029       0.303115       -210.339     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1180_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        19       0.612935        3.24777       -177.408       0.265824       0.136419       0.192666       -173.291     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1190_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        20       0.759046        3.57537        -204.63       0.566865       0.709325       0.637292       -188.271     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1200_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        21       0.766193        3.23011       -150.075        1.12226       0.966895        1.02497       -263.369     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1210_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        22       0.872443        4.17947       -167.892       0.356791       0.326454       0.336176       -168.782     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1220_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        23       0.778396        3.41265        123.829       0.182593       0.444582       0.322227       -154.773     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1230_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        24       0.884045        3.32911        152.673       0.559452       0.380843       0.456211       -172.828     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1240_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        25        1.02947        3.32695        153.605        0.21808       0.423504       0.326685       -178.511     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1250_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        26       0.763565        3.00408        209.185       0.352323       0.169579       0.249282       -151.868     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1260_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        27       0.668114         3.2071        214.948       0.312015       0.229603       0.263745       -161.036     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1270_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        28       0.688304        2.82904        183.085       0.578502       0.946851       0.771038       -345.485     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1280_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        29       0.670019        3.21667        194.239        1.25522        1.09489        1.15369       -280.846     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1290_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        30       0.733334        3.12553        183.611       0.332912       0.478902       0.408002       -157.206     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1300_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        31       0.743492        3.66376        209.422         0.1748       0.153305       0.161111       -140.974     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1310_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        32       0.573185        3.24232        204.834       0.223247       0.355211       0.292036        -188.94     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1320_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        33       0.648957        3.31628        185.038       0.138261       0.214396       0.177837       -152.283     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1330_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        34       0.656864        3.46502         137.58       0.592631       0.707187       0.647654       -282.152     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1340_163_0_230.e9_6.2e9_1.23868e+25_20.dat
