   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.632254        3.62055       -177.614       0.317984        0.28109       0.294277       -191.033     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         0       0.650461        3.64255       -180.774       0.259252       0.309116       0.283187       -183.127     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         0       0.652227        3.64514       -178.916       0.264324       0.281152       0.270321        -178.77     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         0       0.639205        3.59861       -180.197       0.244318       0.329341       0.287456       -178.227     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.547729        3.87407       -163.392       0.259259       0.133492       0.188147       -152.478     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.636643        3.85333       -167.447       0.468501      0.0900295       0.258169       -182.632     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.606124        3.88741       -163.672       0.292291       0.132986        0.20264       -157.814     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.560913        3.91705       -166.794       0.382402       0.121476       0.236696       -169.102     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.532256         3.6085       -152.463       0.201492       0.259257       0.230383       -158.541     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.530606        3.59008       -154.236       0.224689       0.266249       0.244537       -168.536     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.537141        3.58975       -155.789       0.224767       0.272668       0.248046       -169.473     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.570669        3.65262       -157.237       0.234458       0.282691       0.257802       -169.695     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.471833        3.79657       -160.013       0.429643       0.741016       0.593096       -229.304     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.501477        3.80681       -161.073       0.585682       0.750303       0.667881       -252.389     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.546941        3.80125       -161.253       0.527636       0.749241       0.641356        -242.72     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.507264         3.7825       -160.383       0.435414       0.743039       0.596771       -228.302     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.603048         3.3989       -161.053       0.401928       0.241094        0.31016       -212.903     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.609906         3.4183       -156.658       0.243329        0.30397       0.273284       -188.634     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.604993        3.41083       -156.898       0.243846       0.293239       0.267707       -187.266     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.629006        3.42661       -158.894       0.266135       0.275369       0.268001       -188.667     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.599839        3.68893       -167.177       0.537491       0.191983       0.344187        -205.99     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.553795        3.56935       -172.083       0.613253       0.112075       0.334812       -220.642     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.617352        3.64094       -169.167       0.663098       0.151931       0.378665       -226.986     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.616408        3.63631       -172.776        0.59296        0.10743       0.323227        -212.84     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.558309        3.77295        -171.45       0.175177       0.128908       0.148076       -162.682     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.483168         3.7877       -171.969       0.222114       0.137596       0.173762       -177.351     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.557011         3.8361       -171.249       0.267022       0.174872       0.214011        -195.27     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.479403        3.88015       -171.568         0.2186       0.220932        0.21729       -182.231     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.536749        3.76971       -190.838       0.380653       0.324117       0.345579       -193.288     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.571398        3.84105       -197.492       0.373975       0.358475       0.361187       -196.129     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.527222        3.88778       -200.075       0.329486       0.403475       0.365651       -190.307     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.548886        3.90317       -194.304       0.396601       0.420452       0.404843       -202.196     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.538652        3.94341       -176.585       0.271035       0.168805       0.212522       -178.387     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.544271        3.97301       -177.243       0.271598       0.175406       0.216346       -176.692     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.534893        3.96179       -177.278       0.269594       0.169314       0.212153       -175.725     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.589931        3.86489       -175.806       0.279221       0.157455       0.210039       -183.864     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9       0.563553        3.45401       -203.073       0.769996       0.304709       0.509135       -283.126     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9       0.554882        3.49922       -204.421       0.558992       0.434585       0.485089       -256.659     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9       0.598008        3.42017       -202.869       0.630158       0.256553       0.420558       -259.535     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9        0.54029        3.46255        -204.73       0.505082       0.354681       0.417747       -242.718     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.738337        3.74404        -304.81       0.533202        1.95547        1.29663       -311.826     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.718258        3.65375       -305.417       0.399256        1.88685        1.19961       -278.203     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.671014        3.59914       -302.438       0.419852        1.96717        1.25228       -283.152     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.730177        3.77699       -304.479       0.441788         1.8711         1.2101       -293.413     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        11       0.555122        3.80966       -193.329      0.0823501       0.147031       0.116385       -140.875     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        11        0.55677        3.76645       -192.581       0.116906       0.148792       0.132787       -165.116     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.23868e+25_20.dat
