   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.827161        3.44301       -206.574       0.625751       0.888975        0.76084       -265.094     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.739928        3.62051       -155.514        0.35093       0.368387       0.356248       -206.039     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2       0.900439        3.68162        -171.23       0.276151       0.600163        0.44825       -182.496     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.903549        3.63645       -187.204       0.193555       0.489962       0.351687       -173.196     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4        0.71581        3.61613       -179.626       0.183696       0.439789       0.320126       -187.211     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5        0.71893        3.43869       -173.943       0.211238       0.292409        0.25268       -202.145     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         6       0.687638        3.80566       -170.548       0.360268       0.359817       0.355785       -186.498     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1060_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         7       0.666715         3.8892       -165.535       0.191957       0.732925       0.482458        -202.06     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1070_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         8       0.660684        3.63163        -170.56       0.174437       0.151963       0.160222       -178.487     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1080_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         9       0.687858        3.74524        -181.76       0.336481       0.550023       0.448087       -229.212     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1090_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        10       0.686427        3.89471       -176.962       0.455245       0.760612       0.615146       -237.705     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1100_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        11       0.691738        3.88748       -197.535       0.387486       0.348815       0.361999       -214.001     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1110_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        12       0.764509        3.74411       -203.658       0.446996       0.261179       0.341178       -207.263     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1120_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        13       0.772859        3.62215       -197.452       0.382535       0.163828       0.259676       -179.188     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1130_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        14       0.708778        3.58575       -196.338       0.212462       0.182512       0.193754       -208.652     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1140_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        15       0.688876        3.78323       -176.524       0.324838       0.309603       0.312771       -195.445     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1150_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        16       0.739769        3.82796       -177.866       0.135244       0.108393       0.119122       -161.244     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1160_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        17       0.782026        3.59907       -193.796       0.143229       0.297209       0.224874       -168.114     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1170_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        18        0.74237        3.63372       -196.792       0.795824       0.296619       0.516303        -210.93     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1180_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        19       0.705008        3.84691       -185.014       0.302241        0.13887       0.210273       -172.662     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1190_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        20        0.72974        3.74538       -197.766       0.211043        0.11524       0.156714       -167.857     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1200_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        21        0.71919        3.75102       -192.934        0.19451       0.154765       0.170713       -173.301     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1210_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        22       0.685557        3.55799       -214.951        0.19987        0.20898       0.202449       -179.315     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1220_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        23       0.858758        3.72723       -192.282       0.513456        0.31635       0.400746       -191.271     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1230_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        24       0.850457        3.81048       -206.186       0.320632       0.322921       0.318098       -191.152     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1240_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        25       0.809687        3.37593       -250.576       0.708962       0.271795       0.464037       -223.497     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1250_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        26       0.739442        3.25968       -167.051       0.346569       0.574474       0.465828       -207.447     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1260_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        27       0.969984        3.31627       -265.092       0.227007       0.363827        0.29838       -182.032     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1270_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        28        0.91763        3.70641       -193.361       0.188059       0.214205       0.199996       -184.479     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1280_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        29       0.808352        3.81387       -215.944       0.113727         0.6105       0.381231       -191.948     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1290_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        30        0.74159        3.51712       -176.286       0.429025       0.240286       0.321836       -191.345     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1300_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        31       0.752347        3.72516       -196.049       0.364781       0.224502       0.284574       -183.514     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1310_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        32       0.768733        3.57258       -166.185       0.770785       0.458972       0.592971       -234.494     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1320_163_0_230.e9_6.2e9_7.48745e+24_20.dat
