   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.08927         3.3951       -207.562        1.79408        0.91612        1.29784        -412.76     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         0        0.96361        3.46668       -205.654       0.574461       0.866549       0.725773       -251.567     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         0        1.04347        3.49853       -204.859       0.734699       0.877105       0.803123       -284.511     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         0       0.827161        3.44301       -206.574       0.625751       0.888975        0.76084       -265.094     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.734557        3.49049        -158.04       0.214548       0.246454       0.229291       -150.163     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.745188        3.52489       -156.611       0.398984       0.250317       0.313835       -197.441     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.716223         3.6581       -153.738       0.309859       0.381697       0.345091       -198.467     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.739928        3.62051       -155.514        0.35093       0.368387       0.356248       -206.039     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2        0.87416        3.73809       -174.474       0.365038       0.624929        0.50139       -210.573     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2       0.973038        3.72245       -169.463       0.299528       0.589753       0.453067       -186.769     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2       0.898165        3.72131       -170.917       0.232734       0.593963       0.425485       -172.226     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2       0.900439        3.68162        -171.23       0.276151       0.600163        0.44825       -182.496     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3        0.82588        3.63924       -186.901       0.154664       0.507528       0.343806       -161.694     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.800576        3.59034       -180.176       0.130028        0.53609        0.34825       -166.928     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.795332        3.65506       -182.143       0.130934       0.512943       0.336128       -167.874     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.903549        3.63645       -187.204       0.193555       0.489962       0.351687       -173.196     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4       0.609412        3.61932       -181.165       0.128312       0.444146       0.297725       -167.971     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4       0.646726         3.5943       -179.613       0.208014       0.448592       0.335762       -196.002     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4       0.665014        3.62182       -179.406       0.194467       0.435158       0.322436       -187.399     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4        0.71581        3.61613       -179.626       0.183696       0.439789       0.320126       -187.211     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5       0.698846        3.43485       -172.441       0.225775       0.340063       0.284969       -217.004     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5        0.70514        3.48384       -173.617       0.200284       0.371621       0.290651       -205.434     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5       0.702443        3.39376       -174.432       0.241097       0.245882        0.24085       -205.233     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5        0.71893        3.43869       -173.943       0.211238       0.292409        0.25268       -202.145     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
