   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.729162        2.98688       -159.531        0.47321       0.730212       0.606726       -252.247     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         1       0.720763        3.14635       -154.719       0.209349       0.409584       0.315249       -201.664     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         2       0.624402        3.10722       -148.244       0.284963       0.334587       0.308466       -224.694     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0612_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         3        0.80323         3.3876       -157.303        0.20859       0.291008       0.250739       -190.851     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0618_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         4       0.751874        3.39402       -159.547       0.331072       0.176663       0.243614        -195.18     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0624_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         5       0.623743        3.16593       -160.941       0.425232       0.150819       0.271724       -208.023     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0630_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         6       0.881735         3.4561       -168.869       0.551071       0.319498       0.419266       -232.237     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0636_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         7       0.929984        3.96889       -158.453       0.539668       0.264615       0.384467       -222.289     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0642_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         8       0.915336        3.50269       -178.472        0.27642        0.23504       0.250774       -218.908     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0648_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         9       0.827857        3.56394       -173.507       0.306396       0.175833       0.232134       -203.232     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0654_163_0_230.e9_7.2e9_1.13867e+28_160.dat
        10       0.936641        3.78993       -168.149       0.309261       0.384649       0.346421        -223.96     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0660_163_0_230.e9_7.2e9_1.13867e+28_160.dat
        11       0.846451        3.41225       -176.573       0.477321       0.299946       0.375714       -230.416     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0666_163_0_230.e9_7.2e9_1.13867e+28_160.dat
        12       0.815949        3.51686       -181.332       0.579113       0.403101       0.477046        -234.94     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0672_163_0_230.e9_7.2e9_1.13867e+28_160.dat
        13       0.904803        3.37832       -159.027       0.436357       0.315229       0.365672       -219.493     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0678_163_0_230.e9_7.2e9_1.13867e+28_160.dat
        14         1.1471        3.75402       -169.607       0.510078       0.405401       0.447428       -225.058     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0684_163_0_230.e9_7.2e9_1.13867e+28_160.dat
