   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.710647        3.00451       -155.286       0.713823       0.661035       0.676857       -283.909     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         0       0.704144        2.99224       -158.639       0.519705       0.758766       0.642965        -262.32     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         0       0.755671        2.98049       -158.831       0.520454       0.766721       0.647605       -263.276     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         0       0.729162        2.98688       -159.531        0.47321       0.730212       0.606726       -252.247     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         1       0.756087        3.13162        -154.41       0.211297       0.449307       0.337617       -205.622     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         1         0.7581        3.11852       -152.694       0.209561       0.547766       0.390124       -211.252     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         1       0.780625        3.17788       -154.604       0.227599       0.447524       0.343939        -206.74     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         1       0.720763        3.14635       -154.719       0.209349       0.409584       0.315249       -201.664     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         2       0.634504        3.10893       -146.488       0.174746       0.366773       0.276611       -195.514     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0612_163_0_230.e9_7.2e9_1.13867e+28_160.dat
         2        0.63537         3.1149       -147.752       0.261523        0.34225       0.302134       -219.833     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0612_163_0_230.e9_7.2e9_1.13867e+28_160.dat
