   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.67064        3.67816       -180.553        20.1759        21.3445        20.5709       -3121.22     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.607419        3.83133       -169.864        24.2081        7.31667        14.7821       -2354.58     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.543191        3.61125       -159.441        5.69537        33.4555        20.6515       -3089.49     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3       0.639581        3.85397       -153.876        51.2049        94.9721        74.2882       -9973.62     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.659922        3.39261       -161.019        22.0642        24.6782        23.2193       -3459.39     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.812628        3.57938       -175.836        39.7387         8.1743        22.1893       -3401.94     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.570688        3.73937       -171.326        9.76186        11.2289         10.441       -1817.18     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.566465        3.80107       -188.305        36.9067         43.379        39.9751       -5564.26     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.559035        3.98441       -175.954        15.1489        18.1518        16.5958       -2573.61     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9        1.07535        3.30845        -201.88        22.2011         13.058        16.9919       -2843.63     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10        1.08452        3.18099       -217.485        129.963        167.969        149.002       -20821.9     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        11       0.508444        3.79937       -196.391        6.68897        10.0992         8.4558       -1551.44     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        12       0.683024        3.81965       -198.872        7.31297        12.0452        9.78792       -1743.24     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1120_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        13       0.553257        3.76787       -221.183        44.9092         57.221        51.0437       -6989.27     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1130_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        14       0.813536        4.17929       -161.898        87.0652        242.475        170.145       -22248.4     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1140_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        15        0.82647        3.37238       -120.204        52.3733        68.8202        60.6578       -8358.82     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1150_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        16        1.16412        3.24382        143.871        20.2551         69.267        46.5409       -6612.95     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1160_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        17       0.713917        3.34879        135.601        32.7044        20.1376        25.5188       -3734.38     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1170_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        18        1.44381        3.19902        207.522        29.2843        5.08773        15.8452       -2720.91     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1180_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        19       0.562902        1.12939        119.577        318.274        1116.93        746.746       -96754.7     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1190_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        20        1.07626        3.74091        153.053        67.0689        112.273        90.7432       -12136.5     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1200_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        21       0.981301         3.2036        194.888        138.747        165.612        151.653       -20016.8     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1210_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        22        1.07691        4.27081        195.974        40.2609        39.4515        39.3492       -5531.73     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1220_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        23       0.775323        3.60393        125.072         17.914        82.5451        52.6801        -7211.7     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1230_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        24        1.63484        3.39091        160.038        87.1137        92.9704        89.2584       -11999.8     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1240_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        25        1.50927        3.41842        156.702        76.0268        92.9697        84.3014       -11297.7     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1250_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        26        1.50256         2.9621        205.576        22.1717        18.8577        20.1174       -3179.54     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1260_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        27       0.764588        3.13885        212.119        36.9636        38.1562        37.1741        -5263.7     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1270_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        28       0.986742        3.07059       -219.238        49.7563         397.74        237.491       -30805.9     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1280_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        29        1.28963        3.29312       -249.422        26.9248        151.908        94.2458       -13434.5     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1290_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        30       0.869315         3.1069       -183.113        44.7183        42.6987        43.0992       -5994.99     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1300_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        31        0.74698        3.61277       -159.225        19.1924        11.0417        14.5556       -2318.72     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1310_163_0_230.e9_6.2e9_1.23868e+25_20.dat
