   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.885751        3.17909        180.962        28.3816        75.6128        53.6081        -7331.7     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0600_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         1        1.28843        3.25972        196.736        27.9966        16.3664        21.3732       -3327.71     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0606_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         2       0.684061        3.22564        206.852        10.0035        13.1393        11.5828       -1963.56     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0612_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         3       0.729685        3.35182        190.323        6.25689        14.1186        10.4379          -1817     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0618_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         4       0.714976        3.53772        200.653        21.0787        7.33298        13.3918       -2166.24     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0624_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         5       0.672253        3.21961        196.224        12.3516        9.25454        10.5302        -1803.7     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0630_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         6        1.08494        3.76805        192.062        72.4983        17.2141        41.7269       -5808.72     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0636_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         7       0.977249        3.94684         198.76        35.4909        11.1674        21.9101       -3262.22     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0642_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         8        1.03391        3.69959        180.882        15.8031        19.9714         17.873       -2775.79     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0648_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         9       0.870717        3.54895        185.401        22.3671        12.6149        16.8263       -2628.67     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0654_163_0_230.e9_7.2e9_8.26078e+27_80.dat
