   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.706305        3.54989        170.115        8.79979              0        8.79979       -1021.39     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1000_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         1       0.832064        4.15067        77.9731        16.6405              0        16.6405       -1491.31     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1010_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         2       0.548508        3.47932        23.6022        3.17536              0        3.17536       -643.128     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1020_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         3        0.57075        3.79528        21.5664        45.5813              0        45.5813       -3076.84     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1030_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         4       0.626579        3.45911        30.2749        5.77764              0        5.77764       -836.087     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1040_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         5       0.730171        4.03464        60.9212         14.637              0         14.637       -1303.36     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1050_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         6       0.575875        3.85716        12.3881        6.00821              0        6.00821       -839.898     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1060_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         7       0.642683        3.68095        14.8967        15.7831              0        15.7831       -1393.42     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1070_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         8       0.616292        3.99146        10.1026        9.38005              0        9.38005       -1012.64     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1080_163_0_230.e9_6.2e9_1.23868e+25_20.dat
         9       0.692681        3.73373       -84.9337         10.529              0         10.529       -1091.89     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1090_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        10       0.982993        3.60927        58.3609        32.3324              0        32.3324       -2373.51     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1100_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        11       0.553375        3.72826       -8.30816        2.91589              0        2.91589       -632.923     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1110_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        12       0.544366          3.697        159.897         3.8275              0         3.8275       -704.644     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1120_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        13       0.741919        3.54666        123.174        29.8822              0        29.8822        -2226.9     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1130_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        14       0.651713        3.69913        26.7174        47.7909              0        47.7909        -3224.5     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1140_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        15        1.19032         3.2346        217.389        14.2745              0        14.2745       -1460.68     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1150_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        16        1.47895        3.33108          122.9        15.6536              0        15.6536        -1641.7     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1160_163_0_230.e9_6.2e9_1.23868e+25_20.dat
        17       0.717574        3.40544        144.402        23.0296              0        23.0296       -1784.86     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.5_384x192x192_IHARM_320/m_1_1_20/image_a+0.5_1170_163_0_230.e9_6.2e9_1.23868e+25_20.dat
