   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.37724        3.51286        212.399        81.3313              0        81.3313       -5179.13     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         1       0.866917        3.92594        198.986        10.5009              0        10.5009       -1070.04     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         2        2.08297        4.04949        249.727        6.29785              0        6.29785       -1074.05     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         3       0.822992        3.65733        178.485        4.40274              0        4.40274       -708.766     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         4       0.648244        3.60627        176.009        3.12039              0        3.12039       -642.729     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         5       0.891131         3.4656        189.405        4.40183              0        4.40183       -781.893     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         6        1.32528        4.07169       -114.445        7.41239              0        7.41239       -983.796     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1060_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         7       0.672632        3.68247        9.78629          6.753              0          6.753       -835.535     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1070_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         8        0.72578        3.69669        11.3405         4.1372              0         4.1372       -708.485     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1080_163_0_230.e9_6.2e9_7.48745e+24_20.dat
         9       0.810196         3.6593        8.40013        7.82753              0        7.82753       -967.676     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1090_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        10        0.76054        3.64024      -0.842545        12.2343              0        12.2343       -1210.21     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1100_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        11        0.80425        3.77528        142.985        2.36855              0        2.36855       -643.417     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1110_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        12       0.992784        3.71218        317.716        20.8014              0        20.8014        -1729.6     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1120_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        13       0.629665        3.49035        345.566        16.6102              0        16.6102       -1500.85     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1130_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        14        1.07454         3.6355        336.291        4.49732              0        4.49732       -868.886     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1140_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        15       0.754805        3.57038        181.099        11.1759              0        11.1759       -1152.37     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1150_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        16       0.764829         3.9005        183.967        3.22387              0        3.22387       -646.518     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1160_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        17       0.813875        3.67309        172.694        2.95965              0        2.95965       -638.409     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1170_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        18        1.31354         3.4932       -58.5238        31.0905              0        31.0905       -2425.69     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1180_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        19       0.702325         3.7409       -197.162        7.56056              0        7.56056        -925.64     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1190_163_0_230.e9_6.2e9_7.48745e+24_20.dat
        20       0.952906         3.8881       -210.129        10.1951              0        10.1951        -1117.2     /gpfs/hpu/PipelineChallengePart2/MAD_a+0.94_384x192x192_IHARM_320/m_1_1_20/image_a+0.94_1200_163_0_230.e9_6.2e9_7.48745e+24_20.dat
