   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.85617        3.05131        18.5591        9.78726              0        9.78726       -1053.64     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0600_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         1       0.699812        3.16349        27.0811        14.8687              0        14.8687       -1390.94     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0606_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         2       0.657671        3.20786        31.2331        5.07876              0        5.07876       -782.557     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0612_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         3       0.650142        3.77499        15.2788        31.1561              0        31.1561       -2285.75     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0618_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         4       0.815671        3.53404        28.0992        11.9538              0        11.9538       -1155.51     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0624_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         5       0.708211        3.22057        203.212        4.98167              0        4.98167       -751.537     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0630_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         6        1.62914        3.83485        239.944        45.6589              0        45.6589        -3257.4     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0636_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         7        1.42961        4.01833         238.14        17.0395              0        17.0395       -1544.75     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0642_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         8        1.16569        3.68264        187.576        6.23115              0        6.23115       -896.017     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0648_163_0_230.e9_7.2e9_8.26078e+27_80.dat
         9       0.963947        3.58778        195.536        10.5946              0        10.5946       -1133.75     /gpfs/hpu/PipelineChallengePart2/SANE_a+0.94_288x128x128_IHARM/m_1_1_80/image_a+0.94_0654_163_0_230.e9_7.2e9_8.26078e+27_80.dat
