   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.519618        1.79274        268.605        1.24802        3.11969        2.28916       -13056.6     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0900_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.03505E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.509003        1.75365         258.48         1.2601        3.79924        2.67297       -14143.2     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0901_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.00492E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.484412          1.995        298.541        0.72762        2.62275        1.78235       -11714.1     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0902_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.04018E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.492809        1.96856         290.95       0.808491        2.32874        1.65436       -11168.4     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0903_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.10767E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.525431        1.93611        286.236        1.15584        2.52783        1.91879         -11418     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0904_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.16197E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.489001        1.90854        284.132       0.991953        2.37091        1.75895       -10958.6     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0905_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.23524E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.536383         1.9767        281.295        1.06705        2.30234        1.75395       -10902.5     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0906_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.26000E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7       0.564492        1.98758        273.258        1.38875        2.61565        2.07066       -11358.8     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0907_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.25154E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.492216        1.90469        282.793        1.09679         2.3473        1.79214       -10804.8     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0908_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.22242E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.435561        1.85954        279.549       0.917831        2.26951        1.66971         -10244     /gpfs/hpu/EHT/Frankfurt/Ziri/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0909_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_3.23843E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
