   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.415693        3.89551        265.335        1.50689        4.29674        3.05914       -13000.1     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0900_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_8.88485E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1        0.42309        3.50928        284.926       0.801438        1.98823         1.4616       -9757.46     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0901_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.16738E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.431863        3.47289        254.495        1.73285        3.09222        2.48819       -12003.5     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0902_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.14616E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.403115        3.55743        248.413        1.27352        1.98452        1.66822       -10126.2     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0903_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.14359E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.395705        3.38415        251.454        1.44444        2.97117        2.29327         -12190     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0904_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.07354E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.431683        3.23223        240.428       0.965917        2.91603        2.05103       -11800.5     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0905_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.15709E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.400093        3.12971        256.113       0.705061        2.05297        1.45505       -10775.9     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0906_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.20454E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7       0.451612        3.14762        226.335       0.821127        2.74274        1.89052       -11603.2     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0907_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.15855E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8        0.49489        3.57152        291.945       0.810205        1.91105        1.42249         -10964     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0908_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.12715E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.485949        3.61805        283.346       0.693937        1.95707        1.39672       -10627.7     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0909_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.06865E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        10       0.513713        3.78988        279.336        0.76197        2.97033        1.99112       -11191.5     /gpfs/hpu/EHT/Frankfurt/Ziri/3_SANE_a0/IHARM-Low_Resolution/IHARM-Rhigh_80/IHARMformat_GRRT_IMAGE_data0910_Rlow_1.00000E+00_Rhigh_8.00000E+01_MBH_6.20000E+09_Mdot_1.04393E-01_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
