   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.510067        2.74799        -93.744       0.797963        2.28218        1.62377         -10483     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0900_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.18578E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.545259        2.63357       -92.4842       0.992108        2.48041           1.82       -10765.1     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0901_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.25353E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.534858        2.58608       -101.362       0.878253        2.18886         1.6073       -10526.1     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0902_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.24995E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.571263        2.56727       -105.559       0.824082        3.17688        2.13361       -11642.3     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0903_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.30072E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.568792        2.67056       -100.596       0.731112        2.49501        1.71275       -10773.8     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0904_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.37771E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.591084        2.63789       -190.209        1.61924        3.72468        2.79021       -14255.2     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0905_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.43514E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.560168        2.73452       -228.019        1.75444        5.99405        4.11386       -14682.8     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0906_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.46579E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7       0.666722        2.65276        -143.28       0.898594        1.94631         1.4812       -10444.2     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0907_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.51470E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.448505        2.53944       -108.974        1.34589        2.36421        1.91168       -10394.4     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0908_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.51517E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.566308        2.46219       -126.304        1.34495        3.01991        2.27644       -12804.4     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0909_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.51295E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        10       0.663118        2.55549       -69.5292       0.961156        2.90633        2.04352       -12576.1     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0910_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.41928E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        11       0.505653        2.51135        271.978       0.825969        2.54404        1.78199       -10891.5     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0911_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.39945E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        12       0.472437        2.50165        254.142        0.88021        2.84377         1.9729       -11037.1     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0912_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.40656E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        13       0.472526        2.56514        228.987        0.79302        2.53429          1.762       -10454.3     /gpfs/hpu/EHT/Frankfurt/Ziri/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0913_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_4.37540E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
