   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.606308        3.98511        277.808       0.703473        2.45319        1.67725       -11894.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0900_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.09148E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.820584        4.87013        303.819       0.697927        2.77184        1.85226         -12669     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0901_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.19886E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.795294        4.81436        288.636       0.759583        3.07282        2.04715       -12903.8     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0902_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.28877E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.737506        4.78636        273.285       0.729001        3.07801        2.03651       -11734.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0903_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.67976E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.588281         4.0293        280.326       0.712192         2.3513        1.62435       -11203.9     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0904_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.89320E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.626772        4.26736        278.865       0.700631        2.34105        1.61354       -10777.7     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0905_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.79669E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.563361        3.99834        277.125       0.682174        2.26861        1.56503       -10420.9     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0906_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.75569E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7        0.55237        3.85208        280.529       0.789554        2.19703        1.57263       -10189.8     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0907_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.73430E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.609242        3.83733        276.286        0.81966        2.31991        1.65438       -10730.1     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0908_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.89403E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.632378        3.88256        275.325       0.747926        2.44302        1.69123       -11416.1     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0909_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.92060E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        10       0.625575        3.84877        277.429       0.744911        2.33015        1.62704       -11524.7     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0910_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.13188E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        11       0.672672        4.21834        287.199       0.757388        2.23357        1.57877       -12130.2     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0911_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.05290E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        12       0.687208        4.35475        277.661       0.810978        2.74415        1.88682       -12014.7     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0912_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.03167E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        13       0.598046        4.22125        274.929       0.760478        2.60859        1.78899       -11424.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0913_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.02701E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        14       0.540691        4.23038        186.061        1.22245        3.40161        2.43487       -11322.7     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0914_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.16493E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        15       0.514786        4.15925        200.868        1.13319        3.10789        2.23184       -11197.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0915_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.32110E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        16       0.524636        4.22108        185.814        1.27622        3.33126        2.41947       -11391.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0916_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.49034E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        17       0.512545        4.12433        202.068        1.25094        3.68139        2.60328       -12062.5     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0917_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.53197E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        18        0.49311        4.13657         195.77        1.52735        3.61422        2.68807       -12145.6     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0918_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.42906E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        19       0.480439        4.00262        187.788        1.55508        4.18326        3.01724       -12625.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0919_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_6.14677E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        20       0.490971        4.05042        271.378       0.656844        2.45191        1.65592       -11888.6     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0920_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.98691E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        21       0.460255        4.12484        287.817       0.854624        2.42181        1.72658       -11944.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0921_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.58654E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        22       0.436353        4.24239        284.649       0.682677         2.0783        1.45926       -10380.2     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0922_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.47693E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        23       0.455928        4.21556        282.617       0.645091        2.05792         1.4313       -10457.9     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0923_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.36475E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        24        0.48856        4.25543         275.86       0.708597        2.24192        1.56184       -11120.8     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0924_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.42502E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        25        0.45509         4.0377        256.452       0.613142        2.98223        1.93195       -11409.6     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0925_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.41588E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        26       0.479789         4.0869        256.966       0.630511        2.05309        1.42216       -10410.6     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0926_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.30440E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        27       0.527594        4.19602        277.188       0.841428        2.08417        1.53271       -11708.7     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0927_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.26985E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        28       0.562852        4.20249        278.946        0.70585          2.248        1.56402       -11410.5     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0928_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.44603E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        29       0.499327        4.16165        286.257       0.630287        2.25995        1.53727       -10903.1     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0929_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.50065E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        30       0.493463        4.13599        288.478       0.599838        2.08927        1.42875         -10439     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0930_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.61389E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        31       0.472007        4.28036        298.455       0.626133        2.20715        1.50603       -10479.9     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0931_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.74943E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        32       0.481215        4.11995         289.12       0.608502        2.04131        1.40587         -10278     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0932_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.73651E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        33       0.463722        3.90449        291.214       0.647068        2.03918        1.42173       -10365.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0933_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.75428E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        34       0.452599        3.96978        293.736       0.625738          2.088         1.4395       -10221.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0934_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.66760E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        35       0.508068        3.98243        288.656       0.641655        2.01474        1.40573         -10439     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0935_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.68215E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        36        0.51349        3.94128        281.141       0.618752        2.10264        1.44456         -10601     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0936_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.68295E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        37       0.501036        3.81875        279.455        0.62602        2.34602        1.58332       -11300.2     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0937_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.79424E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        38       0.492939        3.97177        285.227       0.651885        2.19688        1.51169       -10659.6     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0938_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.72524E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        39        0.46098        4.00152        284.913       0.654093        2.10952        1.46401       -10516.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0939_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.66242E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        40       0.438208        4.09752        275.661       0.604432        2.02385        1.39435       -9994.86     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0940_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.44775E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        41       0.442775        4.00279        261.244       0.652207        2.09931        1.45749       -9982.85     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0941_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.61803E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        42       0.453188        3.96414        277.371       0.644639         2.1854        1.50209       -10411.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0942_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.84844E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        43       0.454296           3.75        279.174       0.603299        2.18385        1.48296       -10430.4     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0943_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.71479E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        44       0.444848         3.8357        277.685       0.595905        2.20333        1.49054         -10350     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0944_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.38912E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        45       0.531041        4.01979          289.9       0.620756        2.46884         1.6494       -10652.8     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0945_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.24012E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        46       0.510503        3.87801        279.089       0.770919        2.44701        1.70362         -10428     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0946_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_4.88660E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        47       0.551663        3.76252        289.317       0.638736        2.04878         1.4234       -10196.2     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0947_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_4.96221E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        48       0.619706        3.71312        292.615       0.658572         1.9482        1.37615       -10326.3     /gpfs/hpu/EHT/Frankfurt/Ziri/6_INSANE_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0948_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_5.03456E-04_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
