   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.43788        3.88163        280.702       0.972842        2.10049        1.59989       -9910.11     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1500_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.76722E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.452362        3.64448        265.701       0.979136        2.22214        1.67042         -10307     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1600_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.85361E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.486976        3.83619        234.491        1.46227         2.4429        2.00695       -10984.8     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1700_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.92035E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.453695        3.73259        217.152        1.71801        2.28402        2.03151       -10639.8     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1800_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.11352E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.474003        3.76267         218.32        1.20586        2.71819        2.04692       -10931.5     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1900_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.20205E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5        0.50017        3.62286        214.829        1.20993        2.72003        2.04974       -11007.5     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2000_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.36160E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.543209        3.70946        209.809         1.5188        2.25374        1.92658       -10956.9     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2100_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.42455E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7        0.61314        4.08983        207.063        1.50402        4.42071        3.12691       -13188.3     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2200_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.40188E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8        0.55329        4.16566        193.667        1.64281        2.90246         2.3427       -11788.9     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2300_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.15992E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.464238        3.57136        198.643        1.57581        5.07903        3.52529         -14838     /gpfs/hpu/EHT/Frankfurt/Ziri/8_MAD_a+15o16/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2400_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.98949E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
