   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.38481          4.036        167.555        1.31712        5.14339        3.44678       -14414.8     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0900.dat
         1        1.35164        4.45475        175.691        1.16836        4.90557        3.24857       -12878.1     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0901.dat
         2        1.14947        4.32286        162.864        1.15592        4.79599        3.18204       -12768.7     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0902.dat
         3        1.15588        4.12655       -142.017       0.852848         4.0332        2.62324       -12248.4     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0903.dat
         4        0.97684        4.23021       -147.138       0.772941        3.31783         2.1895       -11195.6     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0904.dat
         5         1.1632        4.29873       -141.449         1.0973        2.42945        1.83812       -10952.9     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0905.dat
         6        1.07731        4.15921       -149.186        1.06315        2.58105        1.90745       -10849.3     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0906.dat
         7          1.053         4.1514       -145.225        1.16293        2.61737        1.97179       -10847.5     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0907.dat
         8       0.965868        4.11946       -147.374       0.756609        2.07122          1.488       -10778.9     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0908.dat
         9       0.919136         4.1879       -199.383        1.47046        3.24561        2.45762       -11450.9     /gpfs/hpu/EHT/Frankfurt/semiMAD/a+0.97/IHARM-images/IHARM-Rhigh10_i163_sigma1/IHARMformat_GRRT_IMAGE_data0909.dat
