   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.459329        4.22137       -153.135        1.31974        2.91712        2.20805       -10852.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_0.dat
         1       0.623802        4.60197       -83.0109       0.679728        2.18493        1.51735       -10722.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_10.dat
         2       0.638995        4.71815       -83.7376       0.690356        2.07249        1.45942       -9924.97     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_11.dat
         3       0.492451         4.1444       -118.544       0.593282        2.66589          1.747       -10389.9     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_12.dat
         4       0.499947         4.2492       -120.463       0.632508        3.20802        2.06627       -11133.2     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_13.dat
         5       0.475173        4.23405       -132.051       0.719755        2.52604        1.72502       -10543.9     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_14.dat
         6       0.494904        4.42966       -124.602       0.706997        2.36172        1.62786         -10505     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_15.dat
         7       0.556745        4.84019       -83.7406       0.790104         3.0529        2.04954       -11627.4     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_16.dat
         8       0.618623        4.96367       -69.1416       0.774929        2.84787        1.92865       -11567.2     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_17.dat
         9       0.641328        4.98169       -58.5641       0.956324        2.44427        1.78405       -11941.1     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_18.dat
        10       0.446851        3.87614       -156.988        1.32933        3.22441        2.38343       -11964.2     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_19.dat
        11        0.44719        4.21432       -82.3088       0.820013        2.55405        1.78494         -11949     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_1.dat
        12       0.393108        4.16276        -176.58        1.20765        3.32122        2.38356       -11227.6     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_20.dat
        13       0.450787        4.38345       -109.181        0.67495         2.7391        1.82387         -10927     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_21.dat
        14       0.448988        4.41621       -107.775       0.595716        2.13899        1.45462       -10028.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_22.dat
        15       0.456134        4.42797       -111.589       0.648576         2.1625        1.49108       -10412.8     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_23.dat
        16        0.43273        4.42858       -118.698       0.825416        1.94871        1.45019       -10918.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_24.dat
        17       0.520058        4.55487       -100.892       0.924751        1.98587         1.5148       -11273.5     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_25.dat
        18       0.543816        4.72417       -80.6879        1.27638        2.43697        1.92147         -12450     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_26.dat
        19       0.554572         4.7176       -82.0085        1.20066        2.12761        1.71571       -12386.5     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_27.dat
        20       0.540679        4.96962       -74.7239       0.828123         2.3708        1.68646       -11703.6     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_28.dat
        21       0.501896        4.88854       -70.2184       0.686218        2.42531        1.65409       -11201.5     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_29.dat
        22       0.504058        4.33362       -82.2268        1.01047        2.75022        1.97838       -12484.4     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_2.dat
        23        0.48164        4.72824       -69.3707       0.619883        2.24112        1.52219       -10805.4     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_30.dat
        24       0.501171        4.45859       -72.3796       0.632108        2.09399        1.44565       -10785.8     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_31.dat
        25       0.504191        4.39743        -72.199       0.666087        2.01838        1.41856       -10910.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_32.dat
        26       0.571361        4.32127       -75.3012       0.803005        2.09257         1.5204       -12105.9     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_33.dat
        27       0.530713        4.33852       -77.5773       0.658499        1.98736        1.39793       -10256.8     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_34.dat
        28       0.462932        4.06542       -120.614       0.844472         2.2053        1.60152       -10338.9     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_35.dat
        29        0.44038        4.20899       -119.908        0.84093        1.88178        1.41977       -10458.3     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_36.dat
        30       0.424551        4.09904        -166.18        1.08206        2.43012        1.83175       -10378.4     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_37.dat
        31       0.431295        4.13496       -163.398       0.881548        2.43593        1.74635       -10203.6     /gpfs/hpu/EHT/HAMR/MADa+0.93_5o3/m_1_1_40/THEMIS_Rhigh_40_Thetaobs_163_IMAGE_GRMHD_HAMR3D_MA93_5o3_38.dat
