   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.700692         3.8046        267.282         1.0721         1.9701         1.7019       -12512.1     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_0.dat
         1       0.633089        3.42346         253.26       0.951007          3.464        2.71483       -16088.6     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_10.dat
         2       0.643696        3.51902         249.67       0.902767        3.13664        2.47064       -15449.2     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_11.dat
         3       0.703953        3.52851        172.102        2.36711        2.49559        2.45572       -14720.8     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_12.dat
         4       0.601617        3.54529        250.283       0.911062        2.29843        1.88457       -12615.7     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_13.dat
         5       0.799841        3.88991        246.705        1.16191         3.1815        2.57916       -14073.9     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_14.dat
         6       0.665987        3.73412        245.532        1.01062        2.35813        1.95608       -12901.7     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_15.dat
         7       0.712629        3.74627        252.863        1.06049        2.65877        2.18199       -14326.6     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_16.dat
         8       0.744218        3.60131        253.695        1.08291        3.49082        2.77286         -16172     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_17.dat
         9       0.761144        3.77501        258.634        1.14146        2.20794         1.8895       -14365.8     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_18.dat
        10       0.662906        3.79038        256.453       0.938171        2.22805        1.84321       -12953.4     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_19.dat
        11       0.670691        3.89539        267.488       0.782529        2.16811        1.75487       -13007.3     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_1.dat
        12       0.628378        3.66633         247.25       0.854606        2.68402        2.13853       -13535.2     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_20.dat
        13       0.626997        3.75013        253.949        0.91503        2.21762        1.82901         -13254     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_21.dat
        14       0.644686        3.69432        260.545        0.80746        1.78857        1.49579       -13134.9     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_22.dat
        15       0.714299        3.92471        266.024        0.70871        1.89111        1.53844       -12856.4     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_23.dat
        16       0.685678        4.12537        266.285         0.7418        2.15578         1.7341       -13940.4     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_24.dat
        17       0.759624        4.12931        274.935       0.760301        2.11656        1.71207       -13742.2     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_25.dat
        18       0.683772         4.1242        272.479       0.732044        1.90532        1.55535       -12222.4     /gpfs/hpu/EHT/HARMER/SANEa+0.93/m_1_1_80/THEMIS_Rhigh_80_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93RM20_26.dat
