   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.68006        2.06523        431.765        1.26206        5.33448         4.1206       -19709.9     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_0.dat
         1       0.431182         1.7928        264.163       0.613269        1.80928        1.45262       -11626.7     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_10.dat
         2       0.372278        1.74091        269.069       0.629916        1.87922        1.50667         -11667     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_11.dat
         3       0.381622         1.7376        273.866       0.665647         1.9751        1.58461       -12030.5     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_12.dat
         4       0.379703         1.7409        279.824        0.67663        2.03507        1.62999       -12229.6     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_13.dat
         5       0.385723         1.7703         289.96       0.738561        2.06446        1.66902       -12545.8     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_14.dat
         6       0.394732        1.74958        293.535       0.768747        2.10819         1.7087       -12804.3     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_15.dat
         7       0.406801        1.70963         290.91       0.708621        2.12792        1.70468       -12597.1     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_16.dat
         8       0.419029        1.70458        288.824       0.739695        2.06177        1.66747       -11950.1     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_17.dat
         9       0.407966        1.93061        245.493       0.906671        1.82658        1.55196       -11532.5     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_18.dat
        10       0.487082         1.9414        215.745       0.877317        2.37632        1.92923       -12220.7     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_19.dat
        11       0.553405        1.82768         188.41        1.83019        2.28279        2.14674       -15909.1     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_1.dat
        12        0.42368        1.92204        266.221       0.846303        1.67067        1.42455       -10849.9     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_20.dat
        13       0.445887         1.9042        269.636       0.817323        1.75281        1.47361         -11116     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_21.dat
        14       0.453219        1.88738        271.542       0.824166        1.78806        1.50039       -11339.3     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_22.dat
        15        0.45711        1.88002        273.541       0.892205        1.75774        1.49933       -11458.6     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_23.dat
        16       0.455441        1.87629        272.226        1.01291        1.88488        1.62447       -11855.8     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_24.dat
        17       0.432235        1.91426        262.522        1.20969        2.14172        1.86329       -12035.3     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_25.dat
        18       0.429488        1.91765        270.428        1.32957        2.49445        2.14658       -13054.2     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_26.dat
        19        1.05598        2.79108        2.38339        1.46391        4.70403        3.73793       -20494.1     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_27.dat
        20       0.921354        2.54241        42.7873        1.86969         4.3716        3.62512       -19632.8     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_28.dat
        21       0.453385        1.83652        154.363        1.46615        2.59377        2.25691       -14682.8     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_29.dat
        22       0.430041        1.82923        198.123        1.20085        1.94534        1.72277         -13146     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_2.dat
        23       0.382471        1.89475        118.285        1.33946         2.0654        1.84826       -11752.5     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_30.dat
        24       0.370402         1.8931        124.398        1.20032        1.79705         1.6185       -11167.6     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_31.dat
        25       0.418832        1.94049         138.46        1.02239         1.6729        1.47844       -11114.2     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_32.dat
        26       0.393353        1.94055        156.787        0.87897        1.67514         1.4374       -10969.7     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_33.dat
        27       0.404657        1.94345        170.321       0.763058        1.77877        1.47571       -11188.8     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_34.dat
        28       0.391655        1.89329        186.843       0.735782        1.93173          1.575       -11475.9     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_35.dat
        29       0.374924        1.85416        209.455       0.846628        2.09696        1.72396       -11671.6     /gpfs/hpu/EHT/HARMER/SANEa-0.93/m_1_1_1/THEMIS_Rhigh_1_Thetaobs_163_IMAGE_GRMHD_HAMR3D_SA93M_36.dat
