   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.495386        4.30191        156.502        1.08176        1.74542        1.54701       -11145.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0600_163_0_230.e9_6.2e9_3.07e27.dat
         1         0.5141        4.27908        158.452        1.12573        1.87396        1.65033       -11336.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0601_163_0_230.e9_6.2e9_3.07e27.dat
         2       0.498977        4.02805          166.6       0.965927        1.87588        1.60419       -11487.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0602_163_0_230.e9_6.2e9_3.07e27.dat
         3       0.517917        4.00839        170.209       0.681853        1.71372        1.40591       -11625.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0603_163_0_230.e9_6.2e9_3.07e27.dat
         4       0.495191        4.00861        174.287       0.686969        1.73158        1.41997       -11667.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0604_163_0_230.e9_6.2e9_3.07e27.dat
         5       0.474045        4.15803        169.765       0.682862        1.72177        1.41186       -11537.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0605_163_0_230.e9_6.2e9_3.07e27.dat
         6       0.465583        4.20525        165.222       0.798985        1.71577        1.44216       -11675.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0606_163_0_230.e9_6.2e9_3.07e27.dat
         7       0.487449        4.21215        114.909        1.11633        1.63291        1.47829         -10942     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0607_163_0_230.e9_6.2e9_3.07e27.dat
         8       0.445306        4.30675        163.097       0.891129        1.70206        1.45992       -11492.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0608_163_0_230.e9_6.2e9_3.07e27.dat
         9       0.426558        4.31845        106.027        1.44838        2.08041        1.89118       -11874.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0609_163_0_230.e9_6.2e9_3.07e27.dat
        10       0.405935        4.36767        101.219        1.46119        2.22269        1.99488       -11984.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0610_163_0_230.e9_6.2e9_3.07e27.dat
        11        0.47122        4.54032        164.916       0.703055        1.84128        1.50177       -12049.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0611_163_0_230.e9_6.2e9_3.07e27.dat
        12       0.465485        4.48546        177.953       0.607797        2.10583        1.65921         -12435     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0612_163_0_230.e9_6.2e9_3.07e27.dat
        13       0.483469        4.48512         180.59       0.603062         1.9341        1.53722       -12037.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0613_163_0_230.e9_6.2e9_3.07e27.dat
        14        0.47214        4.40563        169.653        0.69788        1.87556         1.5243       -11398.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0614_163_0_230.e9_6.2e9_3.07e27.dat
        15       0.483405        4.25253        151.891       0.757371        2.02167        1.64457       -11867.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0615_163_0_230.e9_6.2e9_3.07e27.dat
        16       0.484821        4.24183        130.313       0.871218        1.84612        1.55515         -11689     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0616_163_0_230.e9_6.2e9_3.07e27.dat
        17       0.456068        4.09712        114.144        1.22472        2.06635        1.81484       -12867.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0617_163_0_230.e9_6.2e9_3.07e27.dat
        18        0.44332        4.36653        185.227       0.689796        1.87633        1.52244         -11772     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0618_163_0_230.e9_6.2e9_3.07e27.dat
        19       0.443092        4.32817        176.288       0.735936        1.82717        1.50163       -11788.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0619_163_0_230.e9_6.2e9_3.07e27.dat
        20       0.397535        4.09366        187.159       0.672225        1.92443        1.55099       -11543.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0620_163_0_230.e9_6.2e9_3.07e27.dat
        21       0.390286        4.09138        187.104       0.627199        1.88976        1.51327       -11798.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0621_163_0_230.e9_6.2e9_3.07e27.dat
        22       0.431591        4.35157        175.379       0.663637        1.75956        1.43267       -11717.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0622_163_0_230.e9_6.2e9_3.07e27.dat
        23       0.441534        4.32548        164.778       0.641504        1.98799        1.58649       -11964.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0623_163_0_230.e9_6.2e9_3.07e27.dat
        24       0.449858         4.4001        168.454        0.72491        2.07979        1.67574       -12361.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0624_163_0_230.e9_6.2e9_3.07e27.dat
        25       0.454504        4.53861        178.967       0.705146        1.77049        1.45269         -11115     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0625_163_0_230.e9_6.2e9_3.07e27.dat
        26       0.444853        4.49834        181.063       0.821543         1.7657        1.48392       -11028.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0626_163_0_230.e9_6.2e9_3.07e27.dat
        27       0.487904        4.50874        179.555       0.754808        1.74301        1.44815       -11384.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0627_163_0_230.e9_6.2e9_3.07e27.dat
        28       0.506757        4.47631        171.939       0.777823        1.79085        1.48858       -11653.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0628_163_0_230.e9_6.2e9_3.07e27.dat
        29       0.517498        4.28916         180.96       0.650869        1.77384        1.43891       -11521.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0629_163_0_230.e9_6.2e9_3.07e27.dat
        30       0.517011         4.3739        184.576       0.802437        2.19252        1.77792       -11891.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0630_163_0_230.e9_6.2e9_3.07e27.dat
        31       0.497608        4.29026        184.069       0.988255        2.23208        1.86092       -12129.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0631_163_0_230.e9_6.2e9_3.07e27.dat
        32       0.499418        4.24388         175.38       0.940163        2.38393        1.95325       -12379.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0632_163_0_230.e9_6.2e9_3.07e27.dat
        33        0.48115        4.23473        171.733        0.79116        2.64672        2.09349       -12642.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0633_163_0_230.e9_6.2e9_3.07e27.dat
        34       0.475678        4.07833        173.834       0.871337        2.33632        1.89937       -12128.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0634_163_0_230.e9_6.2e9_3.07e27.dat
        35       0.522008        4.15475        179.878        0.94085        2.10255        1.75589       -12058.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/f_3/image_SANE_192_a+0.94_0635_163_0_230.e9_6.2e9_3.07e27.dat
