   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.540495        3.49788        86.5968        1.25146        2.18735        1.90774       -11944.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0600_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         1       0.525849        3.23664        118.991        1.45856        1.72287        1.64316       -11570.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0606_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         2       0.458917        3.44007        107.534        1.44492        1.78366        1.68179       -11521.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0612_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         3       0.418012        3.41028         108.44        1.48209        2.04923         1.8793       -11901.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0618_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         4        0.44188        3.50054        175.202       0.750622        1.67402        1.39846       -11246.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0624_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         5       0.437428        3.46154        203.981       0.650714        1.71976        1.40089       -11409.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0630_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         6       0.459087        3.50643        183.843       0.899891        1.86596         1.5776       -11497.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0636_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         7        0.48409        3.75633        189.951        0.64312        1.72696        1.40369         -11042     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0642_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         8       0.534679         4.2308         191.58       0.939649         1.8011        1.54387       -11413.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0648_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
         9       0.553007        4.14409         185.48        1.01567        1.82334        1.58208       -11604.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0654_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        10       0.526908        3.77198        172.408        1.08662        1.95216        1.69361       -12196.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0660_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        11       0.541851        3.94058        171.708       0.971741        1.91264        1.63173       -11473.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0666_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        12       0.495252        3.76194        159.612        0.82054        1.83402        1.53158       -11202.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0672_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        13       0.581842        4.02923        161.275       0.690141        1.90644        1.54368       -11609.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0678_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        14         0.6384        3.97843        158.607       0.921278        1.88444        1.59693       -11469.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0684_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        15       0.573417        3.77751        151.172        1.07858        1.86086        1.62712       -11666.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0690_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        16       0.484141        3.49786        165.387       0.701824        1.82785        1.49197       -11405.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0696_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        17       0.616774        3.52638        62.0542        1.46071        2.51812        2.20217       -13370.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0702_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        18       0.580929        3.65797        60.9469        1.61414        2.39461        2.16105       -12888.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0708_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        19       0.490215        3.51546        161.902       0.684911        1.72323        1.41349       -11193.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0714_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        20       0.485961         3.5386        172.313        0.72118         1.7567        1.44777       -11153.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0720_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        21       0.493181         3.6088        147.394       0.781551        1.91227        1.57495       -11486.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0726_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        22       0.497851        3.65109        159.417        0.60026        2.03548        1.60758       -12124.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0732_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        23       0.529831         3.5946        135.724       0.842393        1.77806        1.49879       -11410.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0738_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        24       0.561893        3.71714        143.828       0.750339         1.8777        1.54139       -12385.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0744_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        25       0.510576        3.58433        125.063       0.927215        1.96996        1.65874       -11769.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0750_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        26       0.471409        3.66363         155.52        1.35249        1.86715        1.71294       -11682.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0756_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        27       0.561782        3.51675        107.227        1.46187        1.95705        1.80857       -12027.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0762_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        28       0.506606        3.38038        160.065       0.823168        2.24228        1.81902       -13563.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0768_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        29       0.489661        3.54131        140.089       0.812092         1.7173        1.44712       -11429.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0774_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        30       0.510425        3.51534         186.62       0.643557        1.93033        1.54661         -12918     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0780_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        31       0.444664        3.58113        195.447       0.709957        2.00435        1.61832       -12690.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0786_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
        32       0.481488        3.46116        161.634       0.704098        1.85255           1.51       -12121.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a+0.94/m_1_1_1/image_SANE_a+0.94_0792_163_0_230.e9_6.2e9_1.58e+26_1_1.dat
