   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.568369         3.1438        414.314        1.61818        1.77724        1.72877       -11837.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1100_163_0_230.e9_6.2e9_5.3e28.dat
         1       0.555162        2.82415        371.683          1.123        2.06681        1.78493       -11996.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1101_163_0_230.e9_6.2e9_5.3e28.dat
         2       0.604416        2.83264        358.613         1.1294        2.10445        1.81326       -12656.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1102_163_0_230.e9_6.2e9_5.3e28.dat
         3       0.588348        2.88431          356.9        1.15734        2.03726        1.77438       -12326.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1103_163_0_230.e9_6.2e9_5.3e28.dat
         4       0.578215        3.21141        448.949        1.36012        1.87535        1.72096       -11655.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1104_163_0_230.e9_6.2e9_5.3e28.dat
         5       0.639003        3.08571        440.703        1.11587        1.69307        1.52039       -11512.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1105_163_0_230.e9_6.2e9_5.3e28.dat
         6       0.649115        2.94515        353.092        1.66177        2.29505         2.1053       -12713.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1106_163_0_230.e9_6.2e9_5.3e28.dat
         7       0.709998        3.06764        438.551        1.06663        1.87115        1.63079       -12073.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1107_163_0_230.e9_6.2e9_5.3e28.dat
         8       0.735556        3.17218        440.574         1.4519        2.05846        1.87681       -14119.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1108_163_0_230.e9_6.2e9_5.3e28.dat
         9       0.603556        2.83837        355.513        1.84473        3.81435        3.22643       -15487.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1109_163_0_230.e9_6.2e9_5.3e28.dat
        10        0.63202        2.77711        350.569        1.84521        3.20003        2.79523       -14782.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1110_163_0_230.e9_6.2e9_5.3e28.dat
        11       0.591034        2.89458        332.359        1.79368        3.84604        3.23351       -15919.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1111_163_0_230.e9_6.2e9_5.3e28.dat
        12       0.903325        3.60676        439.021        1.62157        3.00186        2.58963       -17284.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1112_163_0_230.e9_6.2e9_5.3e28.dat
        13        1.87276        5.39547        422.108        2.05712        4.04972        3.45481       -17572.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1113_163_0_230.e9_6.2e9_5.3e28.dat
        14         1.0004        3.76252         402.58        1.46129        2.72658        2.34871       -14973.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1114_163_0_230.e9_6.2e9_5.3e28.dat
        15       0.942121        3.63441        411.018        1.31332        3.32421        2.72435       -14362.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1115_163_0_230.e9_6.2e9_5.3e28.dat
        16       0.606826        3.34539        432.987        2.18632        2.95163         2.7222       -14660.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1116_163_0_230.e9_6.2e9_5.3e28.dat
        17        1.21477        3.90587        397.703        2.00058        3.41368        2.99142         -17100     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1117_163_0_230.e9_6.2e9_5.3e28.dat
        18       0.631363        3.45158         420.51        2.26543          2.223        2.23411       -13626.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1118_163_0_230.e9_6.2e9_5.3e28.dat
        19       0.620623        3.42508        417.826        2.46581        3.59184        3.25477       -17178.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1119_163_0_230.e9_6.2e9_5.3e28.dat
        20       0.721569        3.43932        410.223        2.51105        4.61741        3.98831       -19275.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1120_163_0_230.e9_6.2e9_5.3e28.dat
        21       0.629605        3.37742        406.999        2.67327        3.03728        2.92705       -16387.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1121_163_0_230.e9_6.2e9_5.3e28.dat
        22       0.539878        3.20687        409.579        2.88688        4.13258        3.75958       -19611.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1122_163_0_230.e9_6.2e9_5.3e28.dat
        23        1.83123        5.48194        347.081        1.53529        4.05826        3.30573         -17366     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1123_163_0_230.e9_6.2e9_5.3e28.dat
        24       0.936914        3.42291         178.21         1.6091        5.07865        4.04411       -19253.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1124_163_0_230.e9_6.2e9_5.3e28.dat
        25       0.732711        3.28614        173.313        1.39557        5.32049        4.15046       -18498.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1125_163_0_230.e9_6.2e9_5.3e28.dat
        26       0.779614        3.22814        49.2374        1.76634        3.22513        2.78942       -18696.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1126_163_0_230.e9_6.2e9_5.3e28.dat
        27       0.714413        3.43182        51.3703        1.60134        3.33452        2.81719       -17082.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1127_163_0_230.e9_6.2e9_5.3e28.dat
        28       0.675324        3.37895         45.373        1.65806        3.33525        2.83456       -16492.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1128_163_0_230.e9_6.2e9_5.3e28.dat
        29       0.592499        3.25171        40.4802        1.60851        2.66609        2.34999       -13126.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1129_163_0_230.e9_6.2e9_5.3e28.dat
        30       0.601377        3.42075        46.5936        2.12837        2.59424        2.45404         -13276     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1130_163_0_230.e9_6.2e9_5.3e28.dat
        31       0.591366        3.62718         42.937        2.02266        3.35548        2.95712       -14975.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1131_163_0_230.e9_6.2e9_5.3e28.dat
        32       0.660734        3.58669        44.5153         2.0148        3.03358        2.72876       -14895.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1132_163_0_230.e9_6.2e9_5.3e28.dat
        33       0.607919        3.39197        23.8215        2.11414        3.18177        2.86234       -15827.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1133_163_0_230.e9_6.2e9_5.3e28.dat
        34       0.701872        3.37291        88.1478        1.37026         3.6389        2.96224         -16668     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1134_163_0_230.e9_6.2e9_5.3e28.dat
        35       0.742317        3.28542        83.0955        1.30223        3.56028        2.88681       -16061.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1135_163_0_230.e9_6.2e9_5.3e28.dat
        36       0.584163        3.38436        129.067         1.9022        5.12824        4.16604       -17824.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1136_163_0_230.e9_6.2e9_5.3e28.dat
        37       0.844368        3.27206        73.5588        1.91406        3.69069        3.16021       -18412.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1137_163_0_230.e9_6.2e9_5.3e28.dat
        38       0.570618        3.22244        11.6208        2.31819        2.95428        2.76325       -14746.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/f_3/image_SANE_192_a-0.94_1138_163_0_230.e9_6.2e9_5.3e28.dat
