   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.850193        1.78204        160.283        1.25344        2.12845        1.86697       -13709.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1000_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
         1       0.738336        2.11478        188.492        1.37556          2.137        1.90927       -12653.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1000_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
         2       0.662317        1.87692        156.078        1.20042        1.83989        1.64861       -11963.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1010_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
         3       0.771492        1.99217        214.259        0.70888        2.24185        1.78476       -13119.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1010_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
         4        0.68449        1.65486        50.8431        3.16789        4.43192        4.05328       -19190.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1020_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
         5       0.877249        1.78081        200.496       0.726804        2.08713        1.68145       -14952.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1020_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
         6       0.642492        1.74819         147.95       0.854129        2.14898        1.76272       -13240.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1030_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
         7       0.645123        1.75074        118.602        1.21436        2.33164        1.99802       -13343.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1030_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
         8       0.745837        1.80418        152.302        1.70653        2.45418        2.23033       -14215.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1040_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
         9       0.678753        1.70279        201.204       0.725962         2.2983        1.82947       -14315.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1040_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
        10       0.652796        1.82465        25.7086        1.87933        3.98245        3.35474       -16342.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1050_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
        11        0.62667        1.71083        134.242        1.98559        3.44363          3.008       -16171.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1050_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
        12       0.586713        1.73624        134.839        1.07258        2.61414        2.15424       -14219.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1060_163_0_230.e9_6.2e9_1.81e+28_1_1.dat
        13        1.22858        3.04446        215.554        2.80577        6.31262        5.26616         -23955     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a-0.94/m_1_1_1/image_SANE_a-0.94_1060_17_0_230.e9_6.2e9_1.81e+28_1_1.dat
