   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.469257        2.90473         436.14        1.26192        1.88729        1.70016       -11645.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1000_163_0_230.e9_6.2e9_4.7e29.dat
         1        0.50418        3.00743        420.941        1.26666        1.90531        1.71422       -11705.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1001_163_0_230.e9_6.2e9_4.7e29.dat
         2       0.526816         3.0495        428.324        1.62991        1.92933        1.83904       -12090.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1002_163_0_230.e9_6.2e9_4.7e29.dat
         3        0.53931        2.95368        440.659        1.63896        2.06463        1.93673       -12874.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1003_163_0_230.e9_6.2e9_4.7e29.dat
         4       0.461087         2.7686        449.985        1.59734        2.25071        2.05501       -13093.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1004_163_0_230.e9_6.2e9_4.7e29.dat
         5       0.439193        2.75731        442.985        1.67087        2.28656        2.10204       -13299.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1005_163_0_230.e9_6.2e9_4.7e29.dat
         6       0.425616        2.77829        437.728        1.57062        2.11833        1.95413       -12695.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1006_163_0_230.e9_6.2e9_4.7e29.dat
         7       0.414087        2.80505        433.017        1.45132        1.93313        1.78864       -11969.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1007_163_0_230.e9_6.2e9_4.7e29.dat
         8       0.461274        2.79564         436.82        1.13919        1.87362        1.65409       -11872.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1008_163_0_230.e9_6.2e9_4.7e29.dat
         9       0.422221        2.80174        430.763        1.17118        1.83046         1.6333       -11626.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1009_163_0_230.e9_6.2e9_4.7e29.dat
        10        0.42258         2.8262        425.562         1.2404        1.84237        1.66223       -11472.6     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1010_163_0_230.e9_6.2e9_4.7e29.dat
        11       0.411426        2.85131        421.042        1.35273        1.91473        1.74642       -11629.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1011_163_0_230.e9_6.2e9_4.7e29.dat
        12       0.424159        2.88183        417.039        1.47206        2.13371        1.93563       -11971.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1012_163_0_230.e9_6.2e9_4.7e29.dat
        13       0.448943        2.98927        413.476        1.50854         2.6112        2.28174       -13026.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1013_163_0_230.e9_6.2e9_4.7e29.dat
        14       0.505671        3.12226        408.175        1.66382        3.65974        3.06411       -15864.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1014_163_0_230.e9_6.2e9_4.7e29.dat
        15       0.500346        3.14174        404.529        1.82936        4.11236         3.4311       -17959.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1015_163_0_230.e9_6.2e9_4.7e29.dat
        16       0.420458        2.72225        161.903        1.90247        2.92952        2.62232       -17317.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1016_163_0_230.e9_6.2e9_4.7e29.dat
        17        0.40566        2.82444        164.648        1.63519        3.02115        2.60722         -16473     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1017_163_0_230.e9_6.2e9_4.7e29.dat
        18       0.675297        3.42498         254.32        1.74469        2.25575        2.10235       -16332.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1018_163_0_230.e9_6.2e9_4.7e29.dat
        19       0.436151        2.81093        155.783        1.55328        2.83482        2.45205         -16523     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1019_163_0_230.e9_6.2e9_4.7e29.dat
        20        0.45514        3.37388        198.867        1.54461         3.0344         2.5896       -15344.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1020_163_0_230.e9_6.2e9_4.7e29.dat
        21       0.437223        3.18023        187.823        1.30004        1.99793        1.78917         -13099     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1021_163_0_230.e9_6.2e9_4.7e29.dat
        22       0.399007        3.07169        172.163        1.00878        1.83198         1.5861       -11879.5     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1022_163_0_230.e9_6.2e9_4.7e29.dat
        23       0.371144        3.01297        156.823        1.07893        1.80927          1.591       -11830.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1023_163_0_230.e9_6.2e9_4.7e29.dat
        24       0.336784        3.03819        130.928         1.4946        1.92546        1.79611       -11861.8     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1024_163_0_230.e9_6.2e9_4.7e29.dat
        25       0.329378        3.07809        124.746        1.43405        1.95654        1.79994       -11689.3     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1025_163_0_230.e9_6.2e9_4.7e29.dat
        26       0.471762        3.17475        177.735        1.16818        1.76891        1.58918       -12889.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1026_163_0_230.e9_6.2e9_4.7e29.dat
        27       0.395708        3.27566        92.9433        1.37679        2.69489        2.30135       -12689.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1027_163_0_230.e9_6.2e9_4.7e29.dat
        28       0.420699        3.27942        88.6854        1.33326        2.26919        1.98951       -12140.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1028_163_0_230.e9_6.2e9_4.7e29.dat
        29       0.464238         3.2809         83.854        1.28189        2.33909        2.02332         -12711     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1029_163_0_230.e9_6.2e9_4.7e29.dat
        30       0.487634        3.30046        77.8572        1.23405        2.61791        2.20488       -13291.9     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1030_163_0_230.e9_6.2e9_4.7e29.dat
        31       0.562393        3.31402        71.9745        1.13897         2.6991        2.23363       -14140.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1031_163_0_230.e9_6.2e9_4.7e29.dat
        32       0.413104        3.59511         193.84        1.09349        2.62844         2.1705       -13964.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1032_163_0_230.e9_6.2e9_4.7e29.dat
        33       0.453128        3.25572        72.6208        1.44511        3.05311        2.57317       -13697.2     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1033_163_0_230.e9_6.2e9_4.7e29.dat
        34       0.453228        3.60478        187.998        1.14189         2.6422        2.19455       -13546.4     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1034_163_0_230.e9_6.2e9_4.7e29.dat
        35        1.01085        4.10416        218.132        1.36745        2.85322        2.40974       -14534.7     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1035_163_0_230.e9_6.2e9_4.7e29.dat
        36       0.744976        3.84546        207.888        1.38017         3.4981        2.86631       -16381.1     /gpfs/hpu/EHT/SANE/288x128x128_IHARM/a0/f_3/image_SANE_192_a0_1036_163_0_230.e9_6.2e9_4.7e29.dat
