   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.762881        3.84475        9.06042        1.16523        12.4404        7.44358       -21848.4     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_10.dat
         1       0.442805        3.55626        124.719       0.966658        2.03005        1.55792       -10172.6     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_10.dat
         2       0.498033        3.41793       -88.9818        1.36725        4.66378        3.20183         -14279     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_160.dat
         3       0.465971        3.47377        159.624       0.727287        2.08599        1.48326       -10283.9     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_160.dat
         4       0.833838        3.93374         137.75        1.08725        13.4674        7.98112       -21377.9     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_1.dat
         5        0.45049        3.48418        117.617        1.01942        2.10774        1.62452       -10411.7     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_1.dat
         6       0.735979        3.67172        266.865        1.23433        10.0522        6.14408       -20498.6     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_20.dat
         7        0.44709        3.52049        124.118        0.95795        2.05018        1.56529       -10148.1     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_20.dat
         8        0.58138        3.52465       -91.0288        1.37674        7.19124        4.61366       -17744.4     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_40.dat
         9       0.451236        3.48768        -238.68       0.957029        2.09993        1.59259       -10173.7     /gpfs/hpu/EHT/Monika/MAD_163/image_MAD_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_40.dat
