   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.541662        3.11268       -198.426        1.06756        9.19349        5.59211       -18970.6     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_10.dat
         1       0.467353        3.20541       -186.426       0.623878        2.04871        1.41679       -10134.6     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_10.dat
         2       0.434188        3.33123       -85.4462         1.2421        6.78295        4.32675       -15904.2     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_160.dat
         3       0.414343        3.17471       -196.622       0.632003        2.02306         1.4061       -10364.3     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_160.dat
         4         0.4687        1.89691       -182.367       0.737963        2.15643        1.52721       -10348.3     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_1.dat
         5       0.496209        2.82002       -183.317       0.656932        2.04451        1.42907       -10311.6     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_1.dat
         6       0.709159        3.52886       -135.284       0.997608        11.9415        7.09167       -21077.2     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_20.dat
         7       0.441672         3.3188       -193.874       0.643927        1.98847        1.39211       -10028.9     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_20.dat
         8       0.660378        3.54482       -120.775       0.990625        11.2906        6.72606       -20419.6     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{-0.5}_tavg_163_0_230.e9_6.2e9_1_40.dat
         9       0.434359        3.39043        -199.45       0.638092        1.95774        1.37241       -9969.49     /gpfs/hpu/EHT/Monika/SANE_163/image_SANE_a{+0.5}_tavg_163_0_230.e9_6.2e9_1_40.dat
