   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.494894        4.09478         230.55        2.94304        4.54413        3.79837       -875.461     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1500_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.76722E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.539785        4.07824        223.217        4.97586        9.50409        7.43541       -1309.19     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1600_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.85361E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.531647        3.90374        237.023        8.36652        9.59881        8.95102       -1534.54     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1700_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.92035E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.588119        3.61578        302.503        5.02257        5.60331        5.28497       -1166.81     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1800_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.11352E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.571556        3.55527        295.919        6.88771        8.17383        7.52005       -1406.24     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data1900_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.20205E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.625296        3.44933        296.735        6.77899        7.45916        7.07547       -1391.47     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2000_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.36160E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.555446        3.82223         206.23        8.09493        7.30206        7.55581       -1334.08     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2100_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.42455E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7       0.780447          4.227        197.929        9.62931        20.6854         15.665       -2403.64     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2200_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.40188E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.742594        4.35364        192.006        7.13335        12.5787        10.0771       -1717.11     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2300_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_3.15992E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.615755        3.63648        288.576        16.8214        17.3602        16.9178       -2626.93     /gpfs/hpu/EHT2/BHAC/MAD/MAD_a+0.94_256x128x128_BHAC/ascii_data_new/IHARM-Low_Resolution/IHARM-Rhigh_40/IHARMformat_GRRT_IMAGE_data2400_Rlow_1.00000E+00_Rhigh_4.00000E+01_MBH_6.20000E+09_Mdot_2.98949E-05_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
