   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.538607         2.1899        -170.89          6.725        6.44892        6.49003       -1265.75     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0500_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.50168E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.642739        2.12907       -167.776        12.2019         6.9115        9.11043       -1602.61     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0501_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.53648E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.492605        2.03613       -177.469        20.3149        5.31457        11.7222       -1875.67     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0502_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.54971E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.514211        2.14677       -155.608        19.6787        12.6435        15.5259       -2387.22     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0503_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.56487E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.487815         2.0634       -175.471        30.2056        10.0459        18.6223       -2737.96     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0504_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.56850E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.554983        1.98372       -243.359        21.0155        23.6309        22.2166       -3304.12     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0505_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.58512E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.507375        2.03724       -198.522        45.6946        22.9207        32.4693       -4451.64     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0506_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.59310E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7        1.02982        2.39373       -164.157        21.2312        39.8904        31.3573       -4657.55     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0507_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.60998E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.722676        2.65791       -242.239        25.3855        33.2541        29.4569       -4165.02     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0508_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.63386E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.492318         2.1714       -187.929        25.7128        21.7926        23.2203       -3323.33     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0509_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.63380E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        10       0.458302        2.16966       -198.887        28.8274        15.1695        20.8787       -2997.94     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0510_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.64371E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
        11       0.583917        2.26545        -210.24        44.5187         14.606        27.3352       -3825.85     /gpfs/hpu/EHT2/BHAC/SANE/2_SANE_a-1o2/IHARM-Low_Resolution/IHARM-Rhigh_1/IHARMformat_GRRT_IMAGE_data0511_Rlow_1.00000E+00_Rhigh_1.00000E+00_MBH_6.20000E+09_Mdot_1.64099E-03_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
