   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.682555        3.38711       -177.838        39.0448        17.6008        26.6399       -3883.82     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0500_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_2.84070E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         1       0.597511        4.21557        -154.15        9.17121        28.0932        19.5894       -2947.11     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0501_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_2.77082E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         2       0.440865        3.96717       -184.437        13.3386        6.80749        9.54302       -1592.04     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0502_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_3.01480E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         3       0.440421        4.26623       -226.305        4.99154        6.00081        5.49277       -1061.16     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0503_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_3.02563E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         4       0.370342        4.17874       -256.241        2.36756        12.1452         7.7797       -1359.22     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0504_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_2.80747E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         5       0.470246        3.98618       -162.389        16.3208        9.77321          12.48        -2040.3     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0505_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_2.25809E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         6       0.540689        4.14654       -169.071        23.3564        9.07165        15.1251       -2383.55     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0506_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_2.09851E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         7       0.440487        4.43778       -256.658        8.69108        11.9018        10.3726       -1697.45     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0507_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_1.86615E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         8       0.349471        4.37947       -229.231        5.26111        4.55037        4.80197       -974.663     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0508_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_1.76848E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
         9       0.561254        4.43966       -159.275        21.6166        9.60099         14.669        -2374.8     /gpfs/hpu/EHT2/BHAC/SANE/4_SANE_a+1o2/IHARM-Low_Resolution/IHARM-Rhigh_20/IHARMformat_GRRT_IMAGE_data0509_Rlow_1.00000E+00_Rhigh_2.00000E+01_MBH_6.20000E+09_Mdot_1.78697E-02_sigma_cut_1.00000E+00_beta_critical_1.00000E+00.dat
