   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.76102         6.9289        311.114        24.0667        37.6575        31.3382       -4358.65     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0000_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         1       0.964664        3.65168        322.307        58.2599        52.9332        54.5911       -7281.89     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0001_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         2        1.57574        3.23469        352.889        5.51797        20.4058        13.7356       -2472.47     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0002_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         3       0.806721        3.98333        133.767        19.5401        49.8878        36.1907       -5511.85     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0003_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         4        1.70154        4.30793        258.418        5.91347        41.2166        25.4864       -3869.09     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0004_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         5        1.03255        3.80154        290.204        12.3984        35.7485        25.2416       -3846.45     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0005_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         6        1.80924        4.58331         266.38         16.608         48.358        34.0744        -4690.9     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0006_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         7       0.996409         3.1155        138.578         13.478        27.8436        21.3087       -3264.13     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0007_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         8        1.03978        3.77394        238.317        6.44021        30.9155        19.9816       -2994.51     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0008_22_0_230.e9_6.2e9_1.06297e+25_1.dat
         9        1.20156        3.26974        228.683         13.234        7.63716        9.95954       -1824.27     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0009_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        10        1.30657        3.58822         271.64        26.1482        15.9024        20.1306       -3067.68     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0010_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        11        1.42019        4.45262        208.923        8.43258        20.5592        15.0784       -2538.94     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0011_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        12       0.923363        3.55105        158.838        4.24327         12.677        8.88488       -1884.29     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0012_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        13       0.917429        4.31331        177.898        6.19353        10.0858        8.28445       -1635.38     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0013_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        14       0.593792        3.92111        192.487        4.01282        15.8375        10.5441       -1714.63     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0014_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        15        1.19476        3.50463        314.234        21.1319        10.6141        15.0237       -2441.76     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0015_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        16       0.573524        3.64603        353.382        11.7278        10.4447        10.8719       -1803.41     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0016_22_0_230.e9_6.2e9_1.06297e+25_1.dat
        17        0.47017         3.5564        280.716        9.26266        11.0589        10.1502       -1672.79     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_0017_22_0_230.e9_6.2e9_1.06297e+25_1.dat
