   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.383286        3.88899        -240.11        2.41125        6.25538        4.52116       -1010.92     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0000_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         1       0.467616        4.02515       -123.577        10.0406        28.8748        20.3995       -3018.03     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0001_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         2       0.403294        3.52494       -184.517        4.76097        7.63952        6.30515       -1210.58     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0002_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         3       0.592294        4.06795       -259.644         18.236        66.6572        44.9595       -6725.94     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0003_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         4       0.479023        3.59893       -173.663         4.4163        6.22443        5.36901        -1057.5     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0004_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         5       0.604268        3.35806       -170.254        5.12958        16.8901        11.6117       -2053.83     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0005_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         6       0.583221        3.21546       -258.051        3.41163        5.96758        4.79263       -1051.41     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0006_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         7       0.463918        3.29556       -97.6746        9.10212        13.2659         11.309       -1856.73     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0007_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         8       0.442751        3.35276        -165.98        6.99257        14.3777        11.0174       -1806.11     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0008_158_0_230.e9_6.2e9_1.21744e+25_10.dat
         9       0.459641        3.37466       -253.676        16.5776        23.7819        20.3859       -3148.42     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0009_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        10       0.543442          2.864       -136.999         8.5108         10.824        9.69505       -1602.19     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0010_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        11         0.6332        3.94637       -183.234        2.33891        10.7384        6.98455       -1273.22     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0011_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        12       0.641811        3.44704        -235.76        8.36639        12.7553        10.7074       -1877.46     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0012_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        13       0.758824        3.80132       -283.925        19.1735        56.8478        39.9055       -5553.95     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0013_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        14        0.68929        3.95921       -260.166        11.3816        16.9465        14.3405       -2230.51     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0014_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        15       0.946296        3.36782       -283.178        17.0572        25.7392         21.682       -3509.47     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0015_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        16       0.933305         3.6118       -300.027        6.87491         23.215        15.8842        -2465.3     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0016_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        17       0.562968         2.9672       -304.014        13.7104        36.0171        25.9572       -3667.85     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0017_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        18       0.768674        3.89458       -224.788        8.03224        29.6368         19.957       -2917.67     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0018_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        19        1.34738        4.11164       -248.216        4.75435        50.0576        29.9059       -4267.05     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0019_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        20        1.01238        4.21933       -300.166        19.1748        81.1908        53.4518       -8422.23     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0020_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        21       0.795224        4.02487       -221.328        4.39682        11.6565        8.38331       -1539.42     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0021_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        22       0.803802        3.33141       -174.793        6.16179        3.41865        4.56083       -1145.29     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0022_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        23       0.678782        3.69665       -188.623         7.2645        4.85658        5.83673       -1258.38     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0023_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        24       0.597872        3.76512       -200.108        11.8545        12.6943        12.1784        -1987.4     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0024_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        25       0.514505         3.3844       -213.474        5.93246        5.31831        5.51895       -1114.44     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0025_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        26       0.563322        3.88972       -174.769        27.8959        32.3306        30.0262       -4145.07     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0026_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        27        2.76133        6.34819       -236.352        38.0699        36.4312        36.6975       -5451.34     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0027_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        28       0.973045        4.08169       -323.135         36.561        49.1022        43.0973        -6096.2     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0028_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        29       0.792167        3.98744       -229.823        14.0731        52.6199        35.3523       -4974.26     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0029_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        30       0.751265        4.15173       -161.256        31.8553        63.1706        48.8954       -6537.54     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0030_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        31       0.908099        3.41557       -178.672        4.22411        19.4108        12.6237       -2212.56     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0031_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        32       0.718808        3.58006       -192.526        2.71359        6.44505        4.75714       -1137.05     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0032_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        33       0.615955        3.56048       -233.037        5.87905        13.5727        10.0891        -1913.7     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0033_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        34       0.734679        3.41479       -246.209        6.30324        27.1586         17.832       -2764.28     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0034_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        35       0.770732        3.73101       -163.752        7.35998        12.9238         10.367       -1770.61     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0035_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        36       0.494891        3.78768       -148.447        8.15972        23.0939        16.3712       -2468.59     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0036_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        37       0.899716        4.12149       -138.071         6.7187        19.4928        13.7456       -2311.08     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0037_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        38       0.584301        3.62655       -144.696        6.47801        10.2307        8.48781       -1532.21     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0038_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        39        1.11231        3.23041       -180.522        11.6559        22.1125        17.3335       -2873.55     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0039_158_0_230.e9_6.2e9_1.21744e+25_10.dat
        40       0.396009        3.57723        -122.47        10.6147        34.3157        23.6748       -3366.96     /gpfs/hpu/EHT2/IHARM_inc+5/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_0040_158_0_230.e9_6.2e9_1.21744e+25_10.dat
