   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.440347        2.95789        153.916        5.14174        6.95565         6.0889       -1188.63     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1000_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         1       0.414637        2.84798        155.292        3.45946         9.7162        6.89919       -1308.43     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1010_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         2        0.47659        2.92899        157.584        4.29966        6.18287        5.29556       -1134.46     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1020_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         3       0.454691        3.14257        109.399        9.01582        13.0667        11.1609       -1849.74     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1030_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         4        0.80963        3.25512        170.646        3.64983        12.4734        8.51556       -1681.83     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1040_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         5       0.450104        3.09101        162.609        4.31512        4.54283        4.38963       -998.456     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1050_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         6       0.511526        3.37911        172.059        7.23614        8.31415        7.74846       -1427.93     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1060_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         7       0.502168        3.11825        155.107        3.17689        6.27296        4.86127       -1016.43     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1070_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         8       0.542603        3.06215        180.348        7.27636        6.10737        6.53786       -1303.42     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1080_158_0_230.e9_6.2e9_6.25281e+29_80.dat
         9        0.44042        2.98402        137.758         2.8058        2.65136        2.68592       -737.878     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1090_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        10       0.487328        2.96133        161.276        2.51055        11.3263        7.38573       -1411.82     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1100_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        11       0.528257        2.83308        150.076        6.14753        14.1917        10.5493       -1781.76     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1110_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        12       0.432244        2.95597        110.226        7.33311        8.37363         7.8234       -1392.21     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1120_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        13       0.443381        2.91129        130.885        8.10172        7.10369        7.44836       -1343.57     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1130_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        14       0.419146        3.23178        171.584        4.12566        3.80796        3.89897       -904.666     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1140_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        15       0.474667        3.51213        175.816        6.45615        4.97265        5.55256       -1090.08     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1150_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        16       0.470164         2.9256        168.568        5.36125        5.14144        5.17408       -1094.91     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1160_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        17       0.392707        2.99895        130.938        3.71615        2.63059        3.06713       -777.729     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1170_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        18       0.384405        3.03232         167.62        6.01059        4.38189        5.03159       -1039.62     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1180_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        19       0.435684        3.34874        171.556          11.02        6.19766        8.20331       -1439.97     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1190_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        20       0.385269        2.94757        156.751         2.9988        4.16465        3.61126       -862.907     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1200_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        21        0.61369        3.38951        199.769        9.57704        7.73625        8.43688       -1550.95     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1210_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        22       0.399399        3.17044        144.163        4.36762        4.18731        4.21445       -913.052     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1220_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        23       0.388649        3.11753        128.458        8.04947        9.16532        8.57301       -1479.62     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1230_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        24       0.368272        2.98328        123.461        4.08004        5.41492        4.77348       -1016.64     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1240_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        25       0.508935        3.19588        180.142          7.917        4.06625        5.67847       -1151.04     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1250_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        26       0.363962        2.90094        104.423        9.24565        6.85682        7.80454       -1351.39     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1260_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        27       0.775969        2.85253        156.582         2.9181        17.5933        11.0488        -1990.9     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1270_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        28       0.451339        2.92982        153.099        2.92442        8.91731         6.2238       -1185.12     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1280_158_0_230.e9_6.2e9_6.25281e+29_80.dat
        29       0.651308        3.40392        202.641        3.97693        7.49037        5.88388       -1271.59     /gpfs/hpu/EHT2/IHARM_inc+5/SANE_a0_288x128x128_IHARM/m_1_1_80/image_a0_1290_158_0_230.e9_6.2e9_6.25281e+29_80.dat
