   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.31831        3.99225       -236.938        2.89318        17.0868        10.7562       -1751.07     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0000_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         1        0.42858        3.93959       -124.959        13.6915        45.5357        31.2456       -4376.56     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0001_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         2       0.507218        3.54482        169.353        9.86231        24.5287        17.9041       -2770.03     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0002_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         3       0.489704         4.0838        101.035        21.2004        73.5595        50.0793       -7259.85     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0003_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         4        0.47463        3.54518       -174.438        7.71403        9.34494        8.52824       -1474.01     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0004_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         5       0.604767        3.37571       -173.794         4.5413        21.2615        13.7903       -2425.98     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0005_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         6       0.468534        3.02605       -287.912        11.9856         29.903        21.8108       -3211.35     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0006_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         7       0.729565        3.47881       -90.3397        15.1098        29.6943        23.0425       -3511.14     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0007_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         8       0.792805        3.49766       -224.447        3.11971        27.4067        16.5965       -2531.85     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0008_168_0_230.e9_6.2e9_7.52754e+24_1.dat
         9       0.948195        3.26705       -124.342        10.5176        135.607        79.9966         -14657     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0009_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        10        1.00375        3.24689       -35.3153        2.37089        19.5868         11.922       -2136.23     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0010_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        11       0.561257        3.84867        174.067        3.98439        7.72112         6.0155       -1140.07     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0011_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        12        1.33873         3.8847        143.688        6.98692        32.4692        21.0821       -3214.68     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0012_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        13       0.927278        3.97864        323.214        17.6501        51.3223        36.1736       -5178.01     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0013_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        14        1.30256        3.68524        334.327         57.996        121.035        92.3727       -14043.9     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0014_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        15        1.48156        3.20287        262.233        18.8308        76.9069        50.9195       -7188.33     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0015_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        16        1.40957        3.10144        290.354        21.8326        61.2261        43.4891       -7742.69     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0016_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        17       0.860485        2.78916        290.215        10.2664        79.8968        48.8881       -6904.04     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0017_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        18        1.04142        3.97043        142.626        13.8676        35.0079        25.4634        -3663.1     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0018_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        19        1.98846         4.2623        117.428        8.22584        44.9616         28.568       -4379.86     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0019_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        20        1.35403        4.13655        65.0812        11.6877        107.026        64.5977       -9296.57     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0020_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        21       0.884017        3.98803       -95.5191        12.3086        23.5314        18.4046       -3003.52     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0021_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        22       0.790046        3.91468       -107.948        13.2512        53.7551        35.6294       -5071.08     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0022_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        23       0.812596         4.0373       -129.715        13.0042        43.7052        29.9305       -4634.22     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0023_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        24       0.571519        4.13703       -170.839        11.7626        18.4633        15.3489       -2428.62     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0024_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        25         0.3988        3.58549         -164.7        9.66321        6.52921         7.8024       -1356.98     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0025_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        26       0.704457        3.88981       -175.789        35.9453        18.5472        25.8293       -3653.53     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0026_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        27       0.878074        3.82903       -188.508        48.6974        53.6054        50.8394       -6834.02     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0027_168_0_230.e9_6.2e9_7.52754e+24_1.dat
        28       0.735428        3.93702       -206.073        32.9092        94.8052        66.9532       -8928.68     /gpfs/hpu/EHT2/IHARM_inc-5/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_0028_168_0_230.e9_6.2e9_7.52754e+24_1.dat
