   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.437338        3.30155       -83.4266        2.49633        6.05832        4.44821       -947.492     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1200_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         1        0.55956        3.32684       -54.4267        4.26566        7.16506        5.82743       -1143.36     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1206_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         2       0.507563        3.24244       -30.8264        6.05482         9.5474        7.92503       -1410.22     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1212_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         3       0.769907        3.20413       -57.0896        5.13539        7.28693        6.27049       -1325.37     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1218_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         4       0.599389        3.24002       -46.9057        5.80572         15.481        11.1193       -1922.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1224_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         5       0.758306        3.45058       -142.001        4.06947        71.1811        41.3646        -5967.3     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1230_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         6       0.781477        4.06659         136.07        8.86812        118.796        69.9304       -9237.29     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1236_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         7       0.649948        3.68743       -49.0941        4.05661        66.8942        38.9736       -5466.86     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1242_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         8        1.19498        3.88752       -52.0707        4.88176        28.1069        17.7464       -2855.82     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1248_12_0_230.e9_6.2e9_9.72981e+28_40.dat
         9       0.611807         3.3575       -56.5218        7.19296        19.6118        14.0164       -2253.21     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1254_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        10       0.778065        3.47314       -5.10672        4.50645        42.5247        25.6072       -3948.09     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1260_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        11       0.785175        3.37843       -68.1677        10.2412        26.2476        19.0241       -3294.59     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1266_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        12        0.72122        3.43625       -32.5765        4.39836        19.0996        12.5257       -2101.39     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1272_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        13       0.539185        3.18788       -47.1373        10.3114        26.7125        19.3131       -2924.92     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1278_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        14       0.639595        3.17584       -48.4603        11.2588        16.4871        14.0319       -2328.62     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1284_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        15       0.559594        3.25146        -24.174        13.4657        10.9929        11.9268       -2007.49     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1290_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        16       0.674358        3.41789       -75.8457        10.5447        10.4902        10.3868       -1786.15     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1296_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        17       0.606508        3.21852       -25.9339        5.72927        3.81614         4.5954       -1010.11     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1302_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        18       0.399387        3.49546        -41.124        11.6242        10.2948        10.7438       -1766.99     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1308_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        19       0.615265        3.68512       -48.9379        4.16274        7.31138        5.86445       -1206.81     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1314_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        20       0.621037        3.82398       -29.8259        7.07666        10.3779        8.82805       -1593.65     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1320_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        21       0.780104        3.50634       0.970953        6.89669        19.4984        13.8255       -2246.94     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1326_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        22        0.52015         3.4645        10.9957        3.79563        9.55196        6.95284       -1341.64     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1332_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        23       0.563979        3.49319       -74.1687        4.91357        32.5451        20.2297       -2983.72     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1338_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        24        0.71732        3.55127       -36.5787        4.28453        13.6905        9.46668       -1771.28     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1344_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        25       0.624722        3.15911       -58.6327        8.77798         29.615        20.2666       -3210.49     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1350_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        26       0.582853        3.13151       -24.3961        13.9639        65.9246        42.7086       -6131.93     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1356_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        27       0.511225        3.48074        4.53349        7.76256        8.21183        7.91865       -1411.66     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1362_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        28       0.883943        3.11811        304.303         6.9077        20.1857        14.2127          -2395     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1368_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        29       0.513506        3.44952        293.442        7.80901        19.9837        14.4891       -2297.56     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1374_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        30       0.541255        3.22271        299.065        3.65503        3.68667        3.62842       -893.065     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1380_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        31       0.464645         3.3615        298.177        7.13759         4.7886        5.74415       -1101.22     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1386_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        32       0.631767        3.37267        196.273        7.55805        42.9846        27.1798       -4045.18     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1392_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        33       0.949791        3.27502        294.562        5.30083        24.9612        16.1768       -2873.11     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1398_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        34       0.598628        3.45007        217.051        5.16204        18.4286        12.4818       -2048.06     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1404_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        35       0.830999         3.4019        216.541        12.3388        14.4791        13.3805       -2258.23     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1410_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        36       0.502884        3.51599        234.665        4.10936        9.61655        7.12413       -1331.02     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1416_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        37       0.424069        3.61356        262.413        8.44186        6.62661        7.32964       -1295.68     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1422_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        38       0.387043        3.41886         310.66        10.4098         52.173        33.5231       -4570.19     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1428_12_0_230.e9_6.2e9_9.72981e+28_40.dat
        39       0.673092        3.25894        359.987        12.4985        44.6968        30.2641       -4340.82     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_40/image_a-0.94_1434_12_0_230.e9_6.2e9_9.72981e+28_40.dat
