   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.47025        4.24047       -205.426        5.29207        6.59136        5.95105       -1187.37     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_00_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         1       0.476514        4.25403       -214.137         14.501        21.0416        17.9651       -2630.89     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_01_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         2       0.706065        3.96665       -176.139        10.7272        7.72554        8.92717       -1636.76     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_02_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         3       0.698871        4.03623       -193.539        7.20854        10.6148        9.01677       -1647.89     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_03_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         4       0.933914        4.25463       -195.472        6.58607        9.75727        8.27102        -1646.7     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_04_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         5       0.722833        4.08249       -185.731        5.50661        7.40631        6.49709       -1334.78     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_05_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         6       0.461084        4.40944       -207.343        3.87922        6.15729        5.09993       -1033.85     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_06_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         7       0.412152        4.15833        -239.71         6.3213        12.6815        9.78397       -1603.01     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_07_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         8       0.703838        4.50163       -164.376        17.9273        8.55325        12.4942       -2082.83     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_08_163_0_230.e9_6.2e9_1.41132e+43_160.dat
         9       0.494632        4.31306       -185.974        5.18558        7.00171        6.13344       -1229.26     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_160/image_a+0.94_09_163_0_230.e9_6.2e9_1.41132e+43_160.dat
