   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.58321        4.05134         154.64        6.00225        5.61123        5.71206       -1208.94     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0000_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         1       0.560885        4.39858        174.478        5.02286        5.02251        4.96191       -1097.93     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0001_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         2       0.488188         4.4656        170.363        9.49665        5.74524        7.29429       -1332.73     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0002_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         3       0.503945        4.20456        156.871        3.57757        5.42006        4.55955       -1032.14     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0003_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         4       0.439369        3.76096        159.079         6.7977        7.50212        7.10744        -1303.8     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0004_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         5       0.555541         4.5148        138.729        1.64613        3.83368        2.84348       -760.046     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0005_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         6        0.53755        4.26555        173.744        6.09089          6.026         5.9811       -1226.12     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0006_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         7       0.808144        4.34333        194.735        14.9633        6.89718        10.2939       -1875.09     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0007_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         8       0.465372        4.28253        153.969        4.09008        5.33704        4.73447       -1042.17     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0008_163_0_230.e9_6.2e9_4.88902e+42_20.dat
         9       0.536471        4.04135         132.25        2.60003        4.72637        3.75178       -953.887     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0009_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        10       0.403371        4.29666        95.5776        5.40059        11.0086        8.45583       -1438.86     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0010_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        11       0.490393         4.3113        188.888        7.93233         5.0261         6.2192       -1211.33     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0011_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        12       0.391111        4.14954        121.666        5.36246        7.50607        6.49041       -1206.44     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0012_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        13       0.473985        3.85239        128.838        4.73612        5.96527        5.36279       -1104.02     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0013_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        14       0.645089        3.65961        147.074        8.02776        8.76101        8.33867       -1904.37     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0014_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        15       0.471283        3.83317        145.128        5.04409        7.36281        6.27333       -1191.41     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0015_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        16       0.563007        4.08029        194.305        6.79861        6.08771        6.32078       -1261.63     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0016_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        17       0.554412         4.1267        169.086        7.33327        5.87084        6.43079       -1236.03     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0017_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        18       0.420459        4.01819        114.716        2.83747        2.89439        2.83482       -741.063     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0018_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        19       0.500478        4.06179        105.451        5.00504         14.263        10.0961       -1626.87     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0019_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        20        0.48434        4.24639        128.212        3.02301        4.15811        3.61807       -850.168     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0020_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        21       0.492811        3.79547        141.187        3.11805         5.1949          4.236       -992.749     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0021_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        22        0.65354        3.99331        178.943        12.1962        8.06349        9.74903       -1743.76     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0022_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        23        0.64432        4.33828        182.705        9.84789        6.65493        7.95204       -1488.99     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0023_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        24       0.521674        4.48272        86.6617        5.58673        9.12845        7.48994       -1331.37     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0024_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        25       0.480907        3.97721        180.156        7.92672        6.16728        6.85179        -1299.7     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0025_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        26       0.489886        3.90781        145.138         9.5108        6.88017        7.93193       -1389.54     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0026_163_0_230.e9_6.2e9_4.88902e+42_20.dat
        27       0.572241        4.19722        172.143        8.10846        5.49745        6.55747       -1285.33     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_20/image_a+0.94_0027_163_0_230.e9_6.2e9_4.88902e+42_20.dat
