   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.416545        4.41579        103.027        13.1377        18.6974        16.0725        -2428.5     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_00_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         1       0.531354        4.23248        103.027        14.1674        20.7816        17.6765       -2682.92     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_01_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         2       0.532841        4.29153        103.028        17.6308        29.9052        24.2476       -3491.53     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_02_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         3       0.413794        4.49129        103.019        7.89862        12.6574        10.4511       -1699.92     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_03_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         4       0.412044        4.48597         103.05        11.2369        12.5547        11.8343       -1875.91     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_04_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         5       0.437317        4.17077        112.982        3.36068        7.91702        5.85541        -1136.7     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_05_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         6       0.413486        4.44063        103.433        5.89886        8.62845        7.34639       -1301.33     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_06_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         7       0.390096        4.20049        112.996        11.2131        12.5554        11.8244       -1870.38     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_07_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         8       0.413246        4.56014        105.293        14.7995        17.6529        16.2082       -2457.01     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_08_163_0_230.e9_6.2e9_4.08687e+42_10.dat
         9       0.360466        4.41826        103.003        7.01695        13.6071        10.5992       -1697.99     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_09_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        10       0.424847        4.49112        112.889        12.2899        10.5205        11.1566       -1795.52     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_10_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        11       0.374594        4.31982         103.04        9.94122        17.1797        13.8489       -2116.06     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_11_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        12       0.414334        4.01164        112.996        15.4734        18.2954        16.8565       -2480.73     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_12_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        13       0.394389        4.37502        103.002        13.1142        15.3881        14.2209        -2168.7     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_13_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        14       0.334034        4.54934        103.927        6.13218        7.87151        7.02586       -1256.48     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_14_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        15       0.384013        4.52434        103.002        7.33306         9.5858        8.49789        -1459.5     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_15_163_0_230.e9_6.2e9_4.08687e+42_10.dat
        16       0.381354         4.3318        112.882        11.1251        13.7721        12.4634       -1973.44     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_H10_KORAL/m_1_1_10/image_a+0.94_16_163_0_230.e9_6.2e9_4.08687e+42_10.dat
