   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.469787        4.05081        112.928        7.03716        11.2663        9.30537       -1570.54     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0000_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         1       0.401347        4.09494        103.048        9.20285        16.5977        13.2064       -2034.51     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0001_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         2       0.476561        3.95963        103.005        14.8931        27.8446        21.9198       -3174.29     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0002_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         3       0.399305        4.24571        103.055        6.31373         8.4489        7.42548       -1301.32     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0003_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         4       0.367518        3.71133        112.993        5.20146        15.4084        10.8182        -1734.1     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0004_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         5       0.494234        4.20458        112.997        3.25136        8.88987        6.34959       -1261.34     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0005_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         6       0.418861        4.23815        103.028        10.9776        15.1229        13.1515       -2048.44     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0006_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         7       0.633215        4.12066        103.003        13.6957        26.0289        20.3928       -3065.66     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0007_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         8       0.434211        4.02317        112.975        9.11361        14.2051        11.8365       -1859.26     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0008_163_0_230.e9_6.2e9_3.70923e+42_10.dat
         9       0.408589        3.96748        108.678        3.54287        7.34098        5.61348       -1138.72     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0009_163_0_230.e9_6.2e9_3.70923e+42_10.dat
        10       0.375428         4.2099         103.01        4.86741        8.55831        6.86234       -1237.44     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0010_163_0_230.e9_6.2e9_3.70923e+42_10.dat
        11       0.342422         3.9331        112.908        10.5578        16.9441        13.9838       -2127.72     /gpfs/hpu/EHT2/KORAL/MAD/RadMAD_a+0.94_288x224x128_R17_KORAL/m_1_1_10/image_a+0.94_0011_163_0_230.e9_6.2e9_3.70923e+42_10.dat
