   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.902442        4.15323       -190.528        20.8951        10.1586         14.668        -2434.5     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1004.dat
         1       0.723667         4.7451       -182.947         6.5533        6.02689         6.1811        -1396.3     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1014.dat
         2       0.481998        3.88887       -216.525         5.1427        11.4699        8.60127       -1554.38     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1024.dat
         3       0.531964        4.40586       -245.942        5.13811        14.3097        10.1795       -1711.66     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1034.dat
         4       0.472272        3.64898       -198.511        9.28537        9.29904        9.18065        -1560.6     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1044.dat
         5       0.396128        4.54918       -173.131        10.0944        8.39688         9.0277       -1557.53     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1054.dat
         6        0.59481        4.24609        -151.57        11.6092         14.258        12.9427       -2147.42     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1064.dat
         7         0.7166        4.28999        136.962        3.40313        7.11938        5.42988       -1225.45     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1074.dat
         8       0.911971        4.55993        206.437        10.1638        20.2089        15.6305       -2621.17     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1084.dat
         9       0.558405        4.11275        225.525        12.0443        19.4826        16.0377       -2532.72     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1094.dat
        10       0.416349        4.17598         163.98        23.3085        14.9782        18.3911       -2708.93     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1104.dat
        11       0.357857        4.35664        145.569        4.79636        12.7123        9.14317        -1530.6     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1114.dat
        12        1.00152        5.32054        223.508        32.4732        35.1157        33.5508       -4840.55     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1124.dat
        13       0.608138        4.08758        251.986         13.049        9.48155         10.906       -1887.06     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1134.dat
        14       0.826672        4.25618        343.488        8.41086        92.5454        55.1259       -7397.09     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1144.dat
        15        1.44674        4.26577        162.361        9.08113        8.34222        8.56011       -1728.83     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1154.dat
        16       0.527394        4.53377        106.381        3.50759        23.0079        14.3161       -2269.62     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1164.dat
        17       0.683899        4.26498        183.054        3.72685        7.13748        5.57962       -1239.93     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1174.dat
        18       0.352389        4.02614        181.191        11.0613        6.64477        8.46991       -1479.75     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1184.dat
        19        1.25669        3.94062        176.598         21.159        13.5386        16.6626       -2944.56     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1194.dat
        20       0.430549        3.88248        173.562        18.2733        8.44276         12.582       -1994.63     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1204.dat
        21       0.590708        4.06759        195.157        15.1943        9.05991         11.597       -1933.21     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1214.dat
        22       0.522271        4.15912        188.899        10.5818        9.67354        9.94839       -1701.11     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1224.dat
        23       0.458095        4.44972        134.974        24.6684         7.8919        15.0347       -2270.32     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1234.dat
        24       0.776178        4.50933        191.335        33.5404        12.3571        21.3472       -3882.72     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1244.dat
        25       0.518541        3.85048         91.695        14.0397        28.7827        22.0737       -3211.77     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1254.dat
        26       0.546992        3.84126        112.532        6.89577        9.69125         8.3679        -1486.4     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1264.dat
        27       0.403484        4.11302        130.942        12.9826        15.0355        13.9679       -2149.73     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1274.dat
        28       0.663295        4.02244         201.97        18.7519        10.3474        13.8484       -2344.89     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1284.dat
        29       0.673853        3.83037        234.203        9.16658        25.5019        18.1455       -2839.93     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1294.dat
        30       0.835703        4.71142        214.529        28.8187        15.8385        21.2472       -3302.35     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1304.dat
        31       0.887567        4.73309        175.818        16.1641        21.1616        18.7494       -3046.03     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1314.dat
        32       0.509026        3.49337        189.288         10.266        15.9366        13.2972       -2109.24     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1324.dat
        33        0.56096        4.04398        176.162        11.3632        22.3272        17.3267       -2547.54     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1334.dat
        34       0.990114        3.45302        205.889        6.68409        6.61304         6.5637       -1357.05     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1344.dat
        35       0.990283        4.41018        206.098        11.3571        18.5873         15.243       -2441.44     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1354.dat
        36       0.625303         4.3078        211.986        9.41076        8.67412        8.88702       -1645.71     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1364.dat
        37       0.547181        4.46417        199.534        20.3552        9.65979        14.1575       -2258.14     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1374.dat
        38       0.568141        4.28096         220.18        8.60069        11.9609        10.3664       -1803.95     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1384.dat
        39       0.570992        4.25435        173.965        11.4716        8.02137        9.41295       -1669.33     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1394.dat
        40       0.424487        3.97497        176.669        12.1259        7.34231        9.31739       -1617.47     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1404.dat
        41       0.486117        4.24933        125.791        4.82236         10.236        7.77643       -1398.61     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1414.dat
        42       0.446276        3.91713        158.196        3.02407        9.82404        6.77134       -1295.97     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1424.dat
        43       0.368707        3.85544        73.2872        3.90226        7.91748        6.08933       -1144.83     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1434.dat
        44       0.456461        3.91321        191.811         11.262        21.8694        17.0283       -2563.78     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1444.dat
        45       0.324687        3.83665        147.453        11.8815        12.8562        12.2801       -1927.21     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1454.dat
        46       0.626983        4.18997        181.027        13.4652        9.31716        10.9941       -1921.54     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1464.dat
        47        0.58069        4.01945        182.813        15.2452        8.43427        11.2708       -1924.42     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1474.dat
        48       0.377679        3.92621        150.029        10.5095        8.05931        9.01896       -1519.45     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1484.dat
        49       0.469724         4.2329        207.845        2.92362        6.23568        4.73125       -1084.58     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1494.dat
