   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.891945        4.25136       -189.593        50.0197        31.2079        38.1272       -3019.02     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1004.dat
         1       0.796965        4.85939       -181.312        15.5346        18.2093        16.7259       -1569.38     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1014.dat
         2       0.452322        3.89381       -213.512        15.4008        21.4642        18.5386       -1585.01     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1024.dat
         3        0.57755        4.41388       -245.783        21.3336        25.9854        23.5309       -1926.66     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1034.dat
         4       0.451311        3.70125       -198.052        23.4225        20.2751        21.1007       -1728.45     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1044.dat
         5       0.432018        4.51245       -175.867        36.2761        18.8344        25.4726       -2045.33     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1054.dat
         6       0.532353        4.24951       -151.262        40.3008        30.8072         33.967       -2676.98     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1064.dat
         7       0.725986        4.37744       -221.551        8.77146        16.2395        12.8611       -1254.39     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1074.dat
         8       0.623213        4.44456       -155.052        31.1401        38.3831        34.6073       -2722.75     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1084.dat
         9       0.562502        4.16494        -132.77        43.2788        39.0783         39.915        -3109.9     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1094.dat
        10       0.467588        4.27453         -200.6        50.6267        35.7564        40.9814       -3090.49     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1104.dat
        11       0.406127        4.38212       -209.097        12.9649        26.7469        20.5833       -1682.22     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1114.dat
        12       0.897968         5.3079       -133.423        74.5138        59.6725        64.3582       -4885.79     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1124.dat
        13       0.659911        4.13074        -99.071         22.383        25.7956        23.8465       -2001.33     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1134.dat
        14       0.956697        5.90583       0.172702        95.2292        67.3019        77.1114       -5964.24     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1144.dat
        15       0.488547         4.2429       -198.278        26.2145        17.8888        20.8612       -1718.56     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1154.dat
        16       0.573276        4.54131         -255.3        7.03104        46.8812        29.7312       -2355.67     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1164.dat
        17       0.584981        4.28618       -178.697        8.12404         14.278        11.4743       -1131.46     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1174.dat
        18       0.423944         4.1346       -257.183        19.3743         23.197        21.1394       -1724.65     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1184.dat
        19        1.21839        3.94856        -182.69        75.1922        26.1106        45.3838       -3813.58     /gpfs/hpu/EHT2/KORAL/MAD_Rad/IHARM-RadGRMHD/IHARM-R17/IHARMformat_koralM87_MAD_R17_sigcut1_1194.dat
