   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.788029        4.66547       -284.779        17.7808         24.917        21.5367        -3129.1     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1000_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         1        1.61053        6.48485       -257.242        13.4447        55.9006        36.9067       -6170.42     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1010_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         2        1.41352        4.90461       -168.586          18.96        35.1791        27.7558       -4276.37     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1020_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         3       0.740008        4.49588       -174.254        20.8046        12.0446        15.6784       -2410.09     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1030_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         4        1.14911        4.69918       -172.406        26.9088        13.8917        19.3399       -3036.62     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1040_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         5        0.67172        4.17146       -172.312        35.7246        20.8315        27.0052       -3894.21     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1050_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         6       0.720684        4.81666       -169.925        23.4585         14.562        18.2242       -2795.47     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1060_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         7       0.864696        4.83263       -168.948        39.5153        12.1715        23.8218        -3573.1     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1070_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         8       0.879853        4.50608       -168.162        25.9063        12.4509        18.1057       -2889.07     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1080_148_0_230.e9_6.2e9_7.1085e+24_20.dat
         9       0.892052         4.6152       -172.904        27.4932        10.1021        17.4834       -2812.19     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1090_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        10       0.703852        4.65072       -173.623        27.3621        10.1679        17.4634       -2703.67     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1100_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        11       0.845839        4.58811       -179.082        13.3257        9.25469        10.8992        -1951.1     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1110_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        12         0.4976        4.15106       -185.639        13.0247        8.15636        10.1582       -1722.68     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1120_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        13       0.787922        4.35031       -187.955        24.8151        9.50515        15.9957       -2642.95     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1130_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        14       0.803724        4.39984         -182.3        10.0084        7.99324        8.76601       -1682.54     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1140_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        15       0.858157        4.58273       -175.857        20.6348        9.04449        13.9358        -2324.3     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1150_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        16       0.974776        4.97417        -174.31        21.4217         12.329        16.1029       -2567.61     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1160_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        17       0.706913        4.21008       -191.347        29.4211        9.74369        18.1157       -2740.29     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1170_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        18       0.512107        4.26831       -186.178        10.0499        10.3628        10.1024       -1712.26     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1180_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        19       0.576141        4.40554       -177.363        13.1613        7.44066        9.81884       -1693.34     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1190_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        20       0.695226        4.26202       -189.278        17.0559         9.1739        12.4636        -2045.2     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1200_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        21       0.607495        4.42183       -191.101        21.0591        10.3906        14.8678       -2326.15     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1210_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        22       0.481123        4.15548       -200.624        12.7814        7.81751        9.86461        -1685.2     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1220_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        23       0.834319        4.48767       -186.243        22.7275        13.1065         17.099       -2630.47     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1230_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        24        1.06242        4.74199       -296.292        17.8373        23.3059        20.6646       -3198.58     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1240_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        25       0.797908        4.07032       -210.981         8.7876        14.9182        12.0927       -2080.95     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1250_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        26       0.880585        3.83885       -174.802        10.2399        7.65457        8.67744       -1657.93     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1260_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        27        1.01992        4.31096       -210.873         15.891        17.5481        16.6209       -2966.43     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1270_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        28        1.06204        4.87746       -186.575        20.9849        10.3683        14.8234       -2462.88     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1280_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        29       0.747947        4.13452       -182.026        13.0108        9.79203        11.0623       -1934.14     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1290_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        30        1.05639        4.18704        -176.92        17.9876        10.9569        13.8578       -2360.53     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1300_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        31       0.832742        4.47926       -185.361        23.9894        9.15328        15.4436       -2452.69     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1310_148_0_230.e9_6.2e9_7.1085e+24_20.dat
        32       0.662244        4.21018       -173.024        35.8626        15.1309        23.8926       -3486.88     /gpfs/hpu/EHT2/supplementary/M62F05_inc+15/MAD_a+0.94_384x192x192_IHARM/m_1_1_20/image_a+0.94_1320_148_0_230.e9_6.2e9_7.1085e+24_20.dat
