   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.389792        3.44106       -78.9591        3.74839        4.55339        4.15099       -910.038     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1200_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         1       0.645249        3.53765       -62.0826        6.23842        7.76745        7.01379          -1312     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1206_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         2        0.65432         3.3879       -36.9141        5.98296         7.8421        6.94511       -1314.02     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1212_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         3       0.650961        3.26591       -60.8362        6.65475        5.89744        6.15284       -1272.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1218_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         4       0.493851        3.39085       -88.7614        5.79316        15.4755        11.1108       -1794.17     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1224_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         5       0.683673        3.58406       -107.382        5.86649          51.29        31.0715       -4570.76     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1230_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         6       0.835683        3.39986       -12.9001        8.56927        65.5741         40.186       -5662.26     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1236_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         7       0.907208        3.65916       -45.3935        3.99912        14.9643        10.0524       -1840.48     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1242_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         8       0.985315        3.95315       -48.9597        5.10331        25.3985        16.3349       -2643.56     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1248_12_0_230.e9_6.2e9_1.66006e+29_160.dat
         9       0.638349        3.41515       -55.9721        7.44773        16.7739        12.5472       -2085.01     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1254_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        10       0.625057        3.49089       -14.6414         6.6216        22.2143        15.2181       -2386.54     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1260_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        11       0.732502        3.73445       -76.0837         7.8029        12.6721         10.418       -1854.71     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1266_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        12       0.649211        3.64601       -39.6658        3.86277        12.5319           8.64       -1559.83     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1272_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        13       0.494444        3.31243       -54.6038        9.80939        18.5274        14.5419       -2290.17     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1278_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        14       0.637289        3.70129       -85.4951        3.66178        8.10486        6.08984       -1237.75     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1284_12_0_230.e9_6.2e9_1.66006e+29_160.dat
        15       0.622333        3.57647       -61.6854        5.96933        5.32412         5.5381        -1196.8     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a-0.94_288x128x128_IHARM/m_1_1_160/image_a-0.94_1290_12_0_230.e9_6.2e9_1.66006e+29_160.dat
