   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.650437        2.57617       -278.442        9.26134        32.1238        21.8712       -3308.66     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1000_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         1       0.527115        2.74321        -164.65        4.33239        4.58425        4.42013       -959.993     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1010_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         2       0.573231        2.75761       -255.007        3.35943        3.81531        3.57246       -829.943     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1020_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         3       0.718793        2.41975       -248.527        3.90411        22.1643        14.0178       -2323.61     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1030_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         4       0.549382        2.53131       -148.349        4.61813        7.82805        6.34843       -1245.83     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1040_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         5       0.526463        2.49859       -252.666        11.4496        6.04679         8.3047       -1431.41     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1050_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         6       0.725306        2.47416       -226.465        8.36904         12.453        10.5403       -1866.07     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1060_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         7       0.499712        2.34567       -169.019        7.24334        7.64688        7.38027       -1368.39     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1070_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         8       0.509161        2.28647        172.209        26.4373         7.8297        15.7633       -2408.64     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1080_168_0_230.e9_6.2e9_2.72932e+29_10.dat
         9       0.845275        2.47443        359.993         5.0834         20.811        13.7736       -2173.54     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1090_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        10       0.682362        2.79564        238.568        2.71971        26.1929        15.7485       -2418.43     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1100_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        11       0.691324        2.68087        95.0314        2.77828        10.7047        7.15532        -1309.9     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1110_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        12       0.486186        2.50222        176.793        8.63789        12.6833        10.7845       -1747.45     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1120_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        13       0.595356        2.39283        151.558        3.59241        7.27699        5.59925       -1115.29     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1130_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        14       0.702983        2.71859         133.26         3.5998        8.62232        6.35104       -1218.07     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1140_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        15       0.493738        2.43125        140.215        13.7441        10.9552         12.026       -1926.64     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1150_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        16       0.495442         2.4793        85.5099        5.82383        9.36143        7.72188       -1343.08     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1160_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        17        1.26807        2.53771        74.7379        9.86095        8.01954        8.71701       -1557.85     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1170_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        18        1.28201        2.49658        58.8549        12.3401        36.4056        25.5821       -3709.26     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1180_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        19        1.07956        2.64832       -182.473        3.17822         8.8016        6.26891       -1390.81     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1190_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        20         1.0304        2.44907       -252.372        4.80662        6.44034        5.65756       -1329.92     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1200_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        21       0.669942        2.49373       -193.125        6.57108          16.37        11.9442       -1948.61     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1210_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        22       0.579843        2.44743       -193.397        5.04084        6.88557        6.00636       -1178.85     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1220_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        23       0.565875        2.62684       -174.286        7.08318        5.73984        6.24999       -1235.45     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1230_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        24       0.612535        2.60681       -239.915         10.664        8.97081        9.59284       -1663.41     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1240_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        25       0.625719        2.47295       -234.254         3.5603        3.89687        3.70451       -882.955     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1250_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        26       0.763145        2.80208        -172.65        11.6004        6.05887        8.37648       -1493.03     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1260_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        27        0.51976         2.6312       -253.808        5.52789          7.687        6.66246       -1218.74     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1270_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        28       0.635643        2.61096        -167.96        2.71326        9.31259        6.35265       -1270.49     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1280_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        29       0.554516        2.72127       -184.723        8.73622        8.15285        8.30592       -1499.49     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1290_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        30       0.473793        2.65874       -238.398        18.7131        10.8347        14.1028       -2145.93     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1300_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        31       0.492749        2.73718       -214.924        8.22468        5.73082        6.73748       -1225.19     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1310_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        32       0.686647        2.93872        -248.46        5.85455         6.0721        5.90478       -1143.45     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1320_168_0_230.e9_6.2e9_2.72932e+29_10.dat
        33       0.719078        2.65914       -223.297        10.5228        11.6657        11.0315       -1914.34     /gpfs/hpu/EHT2/IHARM_inc-5/SANE_a0_288x128x128_IHARM/m_1_1_10/image_a0_1330_168_0_230.e9_6.2e9_2.72932e+29_10.dat
