   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.624822        2.97821        200.148        13.2423        7.76481        10.0342       -1758.28     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_900_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         1       0.517229        2.88964        185.787        24.6951        7.52931        14.8444       -2284.67     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_901_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         2       0.623454         2.8611         188.19        14.6245        9.17752        11.4166       -1882.65     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_902_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         3       0.562596        2.72964        179.657        11.3738        11.4459        11.2763       -1879.83     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_903_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         4       0.812034        3.03147         193.73        17.0366         10.594        13.2455       -2190.55     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_904_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         5       0.557449        2.79318        175.582        13.9607        10.2754        11.7411       -1911.02     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_905_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         6       0.747751        2.71145        207.385        9.19027        12.3756        10.8516       -1944.84     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_906_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         7       0.730425        2.73952        201.793        15.2881        7.57055        10.8087       -1904.77     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_907_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         8       0.750745        2.86338        210.001        23.5613        8.28692        14.7768       -2391.65     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_908_163_0_230.e9_6.2e9_1.52109e+27_1.dat
         9        0.62138        3.01372        203.339        29.7275        18.2649        22.9895       -3349.57     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_909_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        10       0.565033        3.01266        193.138        34.7562        15.4217        23.5771       -3393.42     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_910_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        11       0.480249        2.84784        187.936        24.2115        7.80688        14.7902       -2255.06     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_911_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        12       0.694502        2.96485        193.649         26.606        8.60408         16.267        -2496.8     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_912_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        13       0.531132        2.95662        185.083        25.2997        7.59121        15.1397       -2305.13     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_913_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        14       0.599561         2.8434        187.609        28.0034        8.42214        16.7686       -2545.63     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_914_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        15       0.678602        2.75026        189.502        24.8931        10.7359        16.7142       -2614.12     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_915_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        16       0.861818        3.01975        192.279        21.0135        8.79644        13.9611       -2324.55     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_916_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        17       0.530233        3.03118        185.082        22.1761        11.2085        15.8049       -2418.16     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_917_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        18       0.523797        3.01593         176.22        32.3137        15.2282        22.4155       -3219.16     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_918_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        19       0.628513        2.94419        173.681        33.0557        9.40372        19.4946       -2896.14     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_919_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        20       0.518567        2.76716        162.823        21.1109        9.99413        14.6696       -2286.91     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_920_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        21       0.587357        2.78293        165.816        18.5621        10.6027        13.9085       -2235.11     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_921_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        22       0.453577        2.86987        83.5639        8.85032        16.4247        12.9581       -2023.64     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_922_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        23       0.491487        2.53915        156.445        18.3346        17.8492        17.8427       -2707.49     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_923_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        24       0.516259        2.85509        187.224        16.0274        10.4752         12.744       -2083.86     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_924_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        25       0.506882        2.92519        188.336        20.8707        10.7864        15.0068       -2364.22     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_925_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        26        0.66931        2.97549        183.483        23.4795         10.168        15.7883       -2501.36     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_926_163_0_230.e9_6.2e9_1.52109e+27_1.dat
        27       0.562975         2.9354        179.997        27.0373        8.79509        16.5593       -2528.12     /gpfs/hpu/EHT2/KORAL/SANE/SANE_a+0.5_300x192x192_KORAL/m_1_1_1/image_a+0.5_927_163_0_230.e9_6.2e9_1.52109e+27_1.dat
