   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.839058        6.21779       -195.453        6.66859          13.02        10.1221       -1783.48     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1000_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         1       0.693252        6.38349       -182.744          5.624         9.3868        7.64979       -1423.53     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1008_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         2       0.602221        6.53537         117.95        9.95928        17.1823        13.8581       -2162.43     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1016_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         3       0.777771        7.19415        103.539        5.70213        6.81253        6.25103       -1214.47     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1024_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         4       0.669909        7.49556         154.42        8.68981        6.89693        7.58704       -1368.78     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1032_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         5       0.768833        7.38071        130.727        9.23766        12.3883        10.8791       -1804.15     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1040_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         6       0.648761        6.73434        160.021        5.32835        4.82209        4.98218       -1098.29     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1048_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         7       0.754848        7.23699         108.13        29.7514        8.32786        17.4703       -2576.66     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1056_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         8       0.793181        6.68461        73.1487        12.5026        13.5861        12.9543       -2025.51     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1064_163_0_230.e9_3.5e9_5.5373e+24_40.dat
         9       0.585436         6.4043        124.397        5.09228        17.0127        11.6638       -1962.96     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1072_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        10       0.654266        7.19711        140.007        7.73537        16.5485        12.5459       -1968.96     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1080_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        11        0.62116        6.81072        192.476        4.97893         10.976        8.25579       -1473.01     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1088_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        12       0.793347        6.13364        144.203        4.43692        7.69196        6.19452       -1281.76     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1096_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        13       0.613715         6.7277        161.209         17.222        10.7164        13.3936       -2108.01     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1104_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        14       0.739519        6.39572        165.541        20.4062        5.46152        11.8434       -1907.85     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1112_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        15       0.570015        6.67947        144.364        2.82305         4.9388        3.96621       -867.758     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1120_163_0_230.e9_3.5e9_5.5373e+24_40.dat
        16       0.734919        7.68113        137.052        14.9772        32.4423        24.5145        -3556.5     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a+0.75_384x192x192_IHARM/m_1_1_40/image_a+0.75_1128_163_0_230.e9_3.5e9_5.5373e+24_40.dat
