   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.04462        6.01844       -60.9072        11.8327        19.9685        16.2167       -2679.19     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1400_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         1       0.785565        7.29393       -40.1617        12.3004        15.8473        14.1253       -2266.45     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1406_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         2       0.760716        6.88868         -49.89         4.1229        11.7212        8.30114       -1449.63     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1412_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         3       0.655779        6.29988       -4.51412        9.49797        25.6832        18.3893       -2715.76     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1418_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         4        1.81541        7.13503       -38.7613        28.9244        12.4619        19.4139       -2872.55     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1424_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         5       0.923862        6.98091       -30.5104        5.91419        4.94979          5.306       -1097.91     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1430_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         6        0.50307        5.95615       -80.6123        6.02991        13.8365         10.301       -1684.21     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1436_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         7       0.695041        6.30314        32.7947        8.01524        11.7872        10.0172       -1695.15     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1442_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         8       0.730139        6.53777        36.0539        12.8728        12.7156        12.6296       -2093.92     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1448_17_0_230.e9_3.5e9_2.04171e+25_80.dat
         9       0.610056        6.04238        21.1347         8.4563        5.40551        6.65639       -1205.57     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a-0.94_384x192x192_IHARM/m_1_1_80/image_a-0.94_1454_17_0_230.e9_3.5e9_2.04171e+25_80.dat
