   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.407637        7.02554       -242.328        2.61741        13.5957        8.69465       -1524.53     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1000_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         1       0.773883        7.27888       -210.762        11.3934         138.55        82.0122       -10964.3     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1010_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         2       0.394563        6.33746       -183.962        3.27865        5.49576        4.47271       -968.747     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1020_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         3       0.657838        7.18179       -260.398        18.4671        54.4589        38.2714       -6304.86     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1030_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         4       0.482564        6.15676       -122.742        5.41566        6.00805        5.67979       -1127.48     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1040_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         5       0.652549        6.04435        191.719        4.47992        14.6887        10.1064       -1850.61     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1050_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         6       0.704501        5.76539        100.176        1.84392        8.93087        5.76516        -1215.6     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1060_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         7       0.680067        5.76273        269.619        7.99929         12.792        10.5694       -1790.25     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1070_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         8       0.553009        5.94329        197.175        8.38635        13.9185        11.3633       -1853.91     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1080_163_0_230.e9_3.5e9_5.72366e+24_10.dat
         9        0.82312         5.7789        107.115        14.1673        14.5197         14.192       -2268.61     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1090_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        10        1.01867        5.97448        290.776        8.91605        6.50481        7.46646       -1460.81     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1100_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        11        0.65073        6.59944        170.875        3.50911        14.9168        9.81447        -1645.8     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1110_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        12       0.762677        6.43541        132.854        4.41395        29.4423        18.2876       -2879.45     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1120_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        13       0.613359        3.97067        154.667        79.2632        55.3867        65.0183       -8972.45     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1130_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        14       0.939284          7.373        105.659        10.8201        33.5926         23.361        -3548.4     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1140_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        15        1.00811        5.75357        87.0305        15.0897        135.533        81.9283       -10770.4     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1150_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        16        1.61026        6.70492        61.5155        8.40628        43.1735        27.6509        -4060.8     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1160_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        17       0.598072        5.23922        59.3919        13.3401         28.757        21.7575       -3114.81     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1170_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        18        1.18243        7.11538         136.04        7.71235         26.536        18.0935       -2652.05     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1180_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        19        1.37223        6.42205        38.4672        6.54565        32.3509        20.8258       -3164.77     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1190_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        20       0.867917        3.29927        41.6238        87.2543        129.176        109.526       -14321.7     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1200_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        21       0.788565        7.39552        143.055        4.30251        11.8261        8.43698       -1498.48     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1210_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        22       0.765397        5.75944        180.037        6.06507         4.6201        5.18764       -1262.67     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1220_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        23       0.816331         6.4803         162.77        10.5996        5.23394        7.48565       -1746.92     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1230_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        24       0.713716        6.55939        158.257         11.434        17.3257        14.5741       -2455.74     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1240_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        25       0.651734        5.93447        143.227        7.39589        5.72019        6.37398       -1273.84     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1250_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        26       0.640984        7.07877        186.924        19.1195        35.8317        28.1877       -3913.82     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1260_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        27       0.711568        6.76205         175.69        23.0261        58.0719        42.2488       -5683.14     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1270_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        28        1.37151        4.64489        92.6453        15.8527        141.841        85.7675       -11443.4     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1280_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        29        1.04699        7.44271        4.08876        9.58138        44.0108        28.6238       -4119.28     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1290_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        30       0.886493        6.47101       -44.4963          11.76        35.6273        24.8988       -3528.94     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1300_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        31       0.810538         6.1204       -181.559         3.8976        36.5241        22.0055       -3480.47     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1310_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        32       0.864536        6.43809         -192.1        3.38597        15.4098        10.0357       -1979.55     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1320_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        33       0.740244        6.30261        -248.54        4.66972        33.5521        20.6849       -3644.39     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1330_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        34       0.778193        6.34201       -131.454        5.29585        30.2955        19.1429       -2948.96     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1340_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        35       0.701822        6.90153       -135.238        5.02712        12.4412        9.09186        -1556.8     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1350_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        36       0.492284        6.78044       -142.573        8.42537        16.9487        13.0663       -2045.28     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1360_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        37       0.872785        7.14546       -138.273        4.42667        14.5069        9.98231        -1826.3     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1370_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        38       0.588241        6.51248       -136.716        5.61694        9.67124        7.80502       -1436.52     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1380_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        39        1.04803        6.08544       -175.746        7.81805        20.2408        14.6361       -2473.31     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1390_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        40       0.511345        6.42401       -117.938        12.5521        29.1089        21.6133       -3105.59     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1400_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        41       0.745483        6.48562        201.044        16.1818        19.4354        17.7965       -2777.48     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1410_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        42       0.682992        7.07369        125.017        6.15625        21.1685        14.4354       -2191.69     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1420_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        43       0.498064        6.56349         95.222        10.3053        9.78649        9.89194       -1685.65     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1430_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        44       0.665966        6.91912        182.246        7.34444        9.31217        8.35054       -1538.52     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1440_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        45       0.426814        6.91901        96.2753        3.66256        8.41842        6.26466       -1159.58     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1450_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        46       0.424921        6.34377        147.727        10.2419        8.10134        8.92687       -1503.47     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1460_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        47       0.410878        6.43187        128.175        14.7781        10.6528        12.3038       -1908.38     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1470_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        48       0.503077        6.59726        181.439        4.61224        17.2835        11.6074       -1900.33     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1480_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        49       0.428349        6.37544        139.377        6.09895         3.8716        4.78576       -989.975     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1490_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        50       0.558414        6.66807        183.506        4.19527        10.0565        7.40604       -1472.85     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1500_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        51        0.58941        6.28955         135.41        10.8469        8.00017        9.13162       -1610.06     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1510_163_0_230.e9_3.5e9_5.72366e+24_10.dat
        52       0.451768        6.33343        132.874        6.38176        13.0564        10.0187        -1713.3     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/MAD_a0_384x192x192_IHARM/m_1_1_10/image_a0_1520_163_0_230.e9_3.5e9_5.72366e+24_10.dat
