   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.740872        6.65055        135.199        8.27455        8.70309        8.41292       -1527.57     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0600_163_0_230.e9_3.5e9_3.888e+27_160.dat
         1        0.85447        6.86574        129.811        10.4483        11.6299        10.9794       -1869.71     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0606_163_0_230.e9_3.5e9_3.888e+27_160.dat
         2       0.901779        6.47477        198.557        9.58656        25.0547        18.0779       -2775.62     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0612_163_0_230.e9_3.5e9_3.888e+27_160.dat
         3       0.839653        6.97187        179.048        17.8486        7.75276        12.0148       -1949.01     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0618_163_0_230.e9_3.5e9_3.888e+27_160.dat
         4       0.818772        7.16422        122.291        26.3734         14.715         19.567       -2833.37     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0624_163_0_230.e9_3.5e9_3.888e+27_160.dat
         5       0.553112        6.82622         120.74        8.35788        8.20191        8.16999       -1435.61     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0630_163_0_230.e9_3.5e9_3.888e+27_160.dat
         6       0.906982        7.18664        189.627        13.5607        15.7435        14.6113       -2283.61     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0636_163_0_230.e9_3.5e9_3.888e+27_160.dat
         7        1.03781        7.07859        169.509        31.5236        20.0612         24.764       -3558.54     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0642_163_0_230.e9_3.5e9_3.888e+27_160.dat
         8        1.77573        8.36636        177.596        11.5783        11.4525        11.3682        -1983.1     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0648_163_0_230.e9_3.5e9_3.888e+27_160.dat
         9       0.889469        7.81614        158.496        13.0689        10.3665         11.407        -1879.6     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a+0.94_288x128x128_IHARM/m_1_1_160/image_a+0.94_0654_163_0_230.e9_3.5e9_3.888e+27_160.dat
