   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.477566        6.04583        281.218        3.45753        9.84213        6.96842       -1269.18     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1200_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         1       0.559971        6.14996        304.392        4.70106        8.33153        6.66437       -1225.67     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1206_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         2       0.667981        5.85531        325.437        6.13336        10.4255        8.44756       -1490.42     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1212_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         3       0.779592        5.78345        301.383        8.24074        3.19289        5.33217       -1180.38     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1218_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         4       0.746319        5.90853        316.187        4.80961        12.8874        9.24631       -1695.84     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1224_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         5       0.760041        6.29492        221.727        5.17315        35.2936        21.8712       -3234.75     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1230_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         6       0.853973        7.98818        136.165        16.2271        115.139        71.0708       -9318.72     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1236_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         7       0.846045        6.36909        309.697        3.66142        34.8859         20.992       -3514.43     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1242_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         8        1.14659        6.87025        317.398        6.24644        27.5282        18.0131       -2871.33     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1248_17_0_230.e9_3.5e9_6.29081e+28_80.dat
         9       0.701682         6.0973         304.78        6.37179        15.8233         11.554       -1943.04     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1254_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        10       0.679459        6.85866        236.494        4.82617        37.2729        22.8229       -3540.94     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1260_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        11       0.697155        6.05955        301.549        11.5679        15.1826        13.4394       -2265.98     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1266_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        12       0.677571         6.3969        329.494        5.21956        15.5004        10.8772       -1845.28     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1272_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        13       0.524415        5.88191        314.984        8.22575        15.2348        12.0264       -1985.21     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1278_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        14       0.884291        6.26531        291.531        5.85956        19.8301        13.5626       -2273.75     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1284_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        15       0.658404        6.06129        343.406        12.9878        5.80801        8.83549       -1564.16     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1290_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        16        0.72796        6.18576        292.013        8.17659        10.2174        9.21328       -1636.79     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1296_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        17       0.590086        6.19229        342.357        5.34879        6.98987        6.19727       -1186.88     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1302_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        18       0.465341        6.44745            304        8.56166        8.49989        8.42372       -1434.42     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1308_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        19       0.710708        6.87791        313.234         3.7815        5.93772        4.93559       -1098.07     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1314_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        20       0.621302        7.05871        329.012        7.15257         8.1414        7.61628       -1436.46     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1320_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        21       0.897011        5.89165        269.705        4.43898        20.7136        13.4413       -2295.68     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1326_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        22       0.616525        6.04634        289.647        8.32421         8.8877        8.53707       -1504.16     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1332_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        23        0.59587        6.41945        289.682        5.39655        23.4383        15.3706       -2364.31     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1338_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        24       0.655923         7.1704        356.745        6.31129        14.2619        10.6591       -1808.19     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1344_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        25       0.812997        5.88833        300.556        7.57102         16.233        12.2994        -2123.7     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1350_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        26       0.700999        5.74126        330.922        13.8681         40.542        28.5431       -4211.36     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1356_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        27       0.449481        6.63414        338.992        10.0625         5.1342        7.19841       -1391.18     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1362_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        28       0.450245        6.53431        247.593        8.05299        13.6362        11.0624       -1816.88     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1368_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        29       0.594518        6.55365        285.536        7.28015        9.58946         8.4771       -1523.33     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1374_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        30       0.633438        6.02543        297.624        5.03637        5.07015        4.99424       -1073.22     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1380_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        31       0.618251        5.80633        328.251        5.34775        7.77748        6.63509       -1307.18     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1386_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        32       0.684433        6.59323        193.329        7.96406        50.3368        31.4461       -4571.66     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1392_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        33       0.986862        6.11695        296.718        6.79545        15.5217         11.569       -2096.25     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1398_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        34       0.722078        6.07373        314.689        6.65373        15.4052         11.443       -1931.05     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1404_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        35       0.757474        6.62481        223.709        10.3081        16.5186        13.6393        -2221.4     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1410_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        36       0.601198         6.6958        235.317        3.06979        9.39479        6.55221       -1244.13     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1416_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        37       0.726984        6.14268        329.845         5.7364         9.9483        8.01073       -1543.94     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1422_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        38       0.662303        6.49712        300.129        14.2962        19.7345        17.1494       -2620.32     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1428_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        39       0.979883        5.96996        359.999        13.0697        28.9436        21.7446       -3341.46     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1434_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        40        0.52611        6.31326        299.053        3.78168         8.1316        6.15645       -1226.46     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1440_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        41       0.770091        5.85481        343.641        18.3263        20.5277        19.3296       -3091.16     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1446_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        42       0.434749        6.30293        340.131        11.0459        7.75902         9.0833       -1517.65     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1452_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        43       0.742014        6.41237        320.939        9.81232        5.02099        7.02748       -1338.76     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1458_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        44       0.820892        6.39484        328.493        9.79562        21.9949        16.4655       -2677.91     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1464_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        45       0.550061        6.73387        306.297        2.87512        6.38698        4.79452       -1013.72     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1470_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        46         0.3984        6.25949        332.716        7.37879        10.6053        9.08494       -1565.12     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1476_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        47       0.743235        5.59375        336.169        11.5413        16.7917        14.3233       -2321.73     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1482_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        48       0.507732        5.70191        332.677         9.4472         18.215        14.2118       -2236.62     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1488_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        49       0.519571        6.50491        315.727        5.93259        9.32622        7.74921       -1369.78     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1494_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        50       0.646342        6.48129        336.194        5.14215        14.1222        10.0769       -1744.63     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1500_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        51       0.863967        6.87616        292.702         6.6336        28.9055        18.9466       -2847.96     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1506_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        52       0.922266        6.25571        300.014        11.0631        68.0548        42.6424       -6003.05     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1512_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        53       0.522767        6.24809        359.989        9.04224        27.5886         19.253       -2842.22     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1518_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        54       0.878104        6.73045        279.442        6.47161        36.7267        23.2288       -3426.83     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1524_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        55       0.736104        6.79808        303.909        5.20792        14.8175        10.4922       -1744.04     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1530_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        56        1.03806          6.653        315.507         5.0108        50.0003        29.9847       -4335.52     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1536_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        57       0.706122        6.55151        230.757        8.42292        37.2434        24.3582       -3479.92     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1542_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        58        1.21901        7.17742        187.774        4.37681        26.8794        16.8455       -2681.94     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1548_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        59       0.980596        6.20754        308.639        6.47467        18.3961        13.0301       -2179.26     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1554_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        60       0.724646        6.37718        333.692        10.9961        19.1031        15.3742       -2337.86     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1560_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        61       0.605454        6.17975        345.195        13.1985        38.9881        27.3895       -3891.89     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1566_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        62       0.814815        6.62764        294.669        2.80029        5.69503         4.3772       -1093.97     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1572_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        63       0.625719        6.61676        279.555        4.13143         10.985        7.89513        -1427.8     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1578_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        64       0.475506         6.6752        229.869        8.10592        8.87737        8.43714       -1479.42     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1584_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        65       0.562931        6.60131        241.091        4.52526        9.82941        7.42202       -1336.01     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1590_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        66       0.490382        6.53376        174.921        5.70914        19.3754        13.2447        -2144.5     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1596_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        67       0.520674        6.02189        297.843        8.55338        22.2358        16.0635       -2461.74     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1602_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        68       0.962021        7.13302        262.381         14.803         13.116        13.6852       -2196.85     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1608_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        69       0.607414        6.22406        294.284        6.59673        13.8387        10.5468        -1758.4     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1614_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        70       0.528297        6.58806        267.491        2.08777        4.57798        3.44819       -816.388     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1620_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        71       0.461539        6.78479          284.1        4.25816        3.11928        3.57292       -819.965     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1626_17_0_230.e9_3.5e9_6.29081e+28_80.dat
        72       0.664775        5.99956        258.491        5.79504        9.52868        7.80253       -1474.07     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a-0.94_288x128x128_IHARM/m_1_1_80/image_a-0.94_1632_17_0_230.e9_3.5e9_6.29081e+28_80.dat
