   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.425319        5.38743        80.7216        5.45805        6.07622        5.73601       -1090.81     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1000_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         1       0.399598        5.16718        60.5588        4.80562        7.79457        6.41069       -1171.83     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1010_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         2       0.777334        5.85839         252.41        6.07272        28.0748        18.2424       -2853.01     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1020_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         3       0.429909        5.50532        135.026        7.22929        8.11452        7.63442       -1390.28     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1030_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         4        0.87313        6.56875        217.538        6.91553        61.3088        37.0991       -5309.56     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1040_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         5        0.72725        5.76163        156.389        5.56496        37.5883        23.3171       -3502.19     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1050_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         6       0.553825        5.56863        144.681        3.34646        4.30902         3.8416       -879.621     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1060_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         7       0.575614        5.56093        148.968         1.5253        10.3781          6.433        -1265.3     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1070_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         8       0.481631        5.33943        148.175        5.59994        6.70672        6.14807       -1169.44     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1080_163_0_230.e9_3.5e9_2.75729e+29_40.dat
         9       0.546779        5.53594        134.137         1.3483        4.72572        3.21136       -824.008     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1090_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        10        0.61946        5.40468        175.936        3.52322        59.0895        34.4005       -4909.67     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1100_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        11       0.540494        5.47778        92.8532        7.39582        23.9155        16.4988       -2549.91     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1110_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        12       0.492463        5.43003        120.392        2.62202        4.94124        3.88084       -884.037     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1120_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        13       0.427131        5.39504        131.431        5.89864        13.9342        10.2987        -1710.6     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1130_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        14       0.631479        5.61435        154.094        4.06233        15.5509         10.406       -1828.64     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1140_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        15       0.452364        5.80058        145.412        2.73815        3.45732        3.10521       -765.568     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1150_163_0_230.e9_3.5e9_2.75729e+29_40.dat
        16       0.461582        5.53972         125.89        5.83438        8.01076        6.97485       -1244.66     /gpfs/hpu/EHT2/supplementary/M35F05/IHARM/SANE_a0_288x128x128_IHARM/m_1_1_40/image_a0_1160_163_0_230.e9_3.5e9_2.75729e+29_40.dat
