   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.982203        4.14627        144.098        4.32124        7.44935        6.00961       -1310.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1000_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         1       0.739529        4.20854        161.458        13.7863        16.4483        15.1008       -2420.68     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1010_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         2       0.743431        3.42182        170.444         5.8846        15.6029        11.2212       -1898.44     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1020_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         3       0.686298         3.8472         89.842        13.7728        12.4493        12.8697       -1989.05     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1030_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         4       0.517561        4.13524        91.0821        6.61278        11.6452        9.33307       -1542.44     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1040_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         5       0.511244        3.71957        125.942        9.43503        12.9823        11.2948       -1838.18     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1050_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         6       0.715482        4.22948         136.76        9.79138        16.8167        13.5822       -2179.76     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1060_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         7       0.825908        4.00721        197.007        13.9322        29.2697        22.2983       -3341.02     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1070_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         8        0.60324        4.22746        199.392        6.11946        6.94115        6.50267       -1282.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1080_17_0_230.e9_6.2e9_3.9329e+24_1.dat
         9       0.450768        4.15924        158.509        8.02725        6.29692         6.9673       -1298.85     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a+0.94_384x192x192_IHARM/m_1_1_1/image_a+0.94_1090_17_0_230.e9_6.2e9_3.9329e+24_1.dat
