   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.903665        4.17544        33.2401         23.906        38.7902        31.8991       -4471.14     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1400_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         1       0.605442        3.79962        36.0353        17.9073        36.6106        28.0982       -3943.92     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1406_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         2        1.02615        3.86372       -80.8828        13.9376        26.7449        20.8956       -3040.17     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1412_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         3       0.746035         3.9094         6.2732        9.39697        21.6797        16.1181       -2409.82     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1418_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         4        1.06387        3.73635       -71.6705        6.82839        48.6579        30.0219       -4219.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1424_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         5        1.34766        3.92525       -199.641        11.2385        34.9833        24.3154       -3596.99     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1430_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         6        1.58225        4.74255       -260.541        8.45554        52.4411        32.8291       -4753.06     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1436_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         7        1.47211        3.97053       -219.243        12.9727        43.3494         29.719       -4910.71     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1442_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         8        1.39274        4.68387       -269.153        11.4034        49.7858        32.6234       -4825.95     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1448_163_0_230.e9_6.2e9_1.40755e+25_1.dat
         9       0.871724        4.23592       -290.407        6.74867        43.7338        27.2474       -3830.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1454_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        10       0.652325        3.88814       -317.771        4.82522        49.3691        29.5534       -4119.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1460_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        11        1.29538        4.27903       -278.773        14.2378        54.3703        36.3974       -5232.81     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1466_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        12        0.65308        3.28019       -209.955        9.65601        32.2817        22.1293       -3212.48     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1472_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        13        1.33261        3.21299       -232.157        8.61532        53.9556        33.7408       -4785.54     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1478_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        14        1.02103        4.27803        -325.98        6.50555        105.412        61.4634       -8205.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1484_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        15       0.977727        5.41365       -354.556        58.2639        46.8753        51.2219       -7384.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1490_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        16       0.648358        3.41638       -121.954        22.5158        67.6531        47.3601       -6719.42     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1496_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        17       0.613832          4.341       -26.4501        15.8773        13.7374        14.4945       -2320.83     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1502_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        18       0.504745        4.59762       -15.5132        12.9009        13.1966        12.9094       -2068.27     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1508_163_0_230.e9_6.2e9_1.40755e+25_1.dat
        19        1.77869        4.24324       -10.7598        12.1394        11.6004        11.6927       -2139.42     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a-0.94_384x192x192_IHARM/m_1_1_1/image_a-0.94_1514_163_0_230.e9_6.2e9_1.40755e+25_1.dat
