   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.394811         4.0955       -120.785         23.147          45.32        35.2052       -4844.85     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1000_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         1       0.492991        4.20443       -51.9373        19.7921         78.579        52.2647       -7017.88     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1010_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         2       0.520206        4.09091        24.1293         14.625         74.953        48.0177       -6376.93     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1020_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         3       0.806716        4.79642        101.099        40.2049        65.6619        53.8841       -8232.38     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1030_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         4          0.458        3.46053        52.4648        7.32954        6.38951        6.71779       -1255.51     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1040_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         5        0.59534        3.92695        178.245        8.17527        15.8999        12.3747        -2045.5     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1050_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         6       0.755204        3.02561         179.84        17.1046        25.5059        21.5726       -3215.68     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1060_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         7       0.933525        3.28792       -256.929        6.65456        18.1031        12.9446       -2257.97     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1070_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         8       0.556204        3.06292       -250.679        11.9473        33.2676        23.6665       -3616.59     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1080_17_0_230.e9_6.2e9_7.49212e+24_1.dat
         9       0.712931        4.49454       -324.724        8.78242        137.665        80.3933       -10696.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1090_17_0_230.e9_6.2e9_7.49212e+24_1.dat
        10       0.867487        3.15002       -331.857        7.38986        7.26135        7.22896       -1434.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/MAD_a0_384x192x192_IHARM/m_1_1_1/image_a0_1100_17_0_230.e9_6.2e9_7.49212e+24_1.dat
