   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.623802        3.68235       -191.972        4.09938        5.30461        4.72044       -1115.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0600_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         1        0.65238        3.43527       -196.014        3.16435        6.28904        4.86481       -1252.97     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0606_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         2       0.597286        3.56158       -221.833        3.49571        5.41883        4.52354       -1059.45     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0612_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         3       0.521011        3.56565        -210.82        6.13436        5.37749        5.63899       -1176.45     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0618_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         4       0.560566        3.46108       -211.149        8.77708         6.4733        7.38896       -1432.55     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0624_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         5        0.59893        3.81056       -202.745        12.0411        7.32778        9.27272       -1667.43     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0630_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         6       0.833032        3.94461       -185.456        18.2142        7.88041        12.2436       -2103.07     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0636_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         7       0.450084        3.78947       -193.946        12.2666        6.72787        9.03619       -1580.84     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0642_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         8        0.72205         4.1553       -178.193        17.8627        8.29708        12.3238       -2059.77     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0648_17_0_230.e9_6.2e9_1.22156e+26_1.dat
         9       0.737772        3.99824       -171.592        19.1992        8.73579        13.1445        -2186.8     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0654_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        10       0.633902        3.77133       -174.259        21.1024        9.90068        14.6139       -2335.34     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0660_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        11       0.752709        3.85839       -164.285        21.2209        10.7677        15.1475       -2457.39     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0666_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        12       0.756991        4.07048       -158.933        16.4981        8.67364        11.9446       -2007.28     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0672_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        13       0.903302        3.95925       -156.531        20.1065        8.45794        13.3814       -2253.13     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0678_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        14       0.619632        3.67882       -159.541        22.8742        8.06738        14.3582       -2239.31     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0684_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        15       0.616499        3.82042       -160.401        19.6067        10.8634        14.5043       -2296.19     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0690_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        16       0.719415         3.9406        -150.44        19.1879        9.21377        13.4057       -2191.62     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0696_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        17       0.627587        3.72297       -155.431        21.5245        11.6406        15.7642       -2464.11     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0702_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        18       0.619759        3.60956       -155.312          19.49        10.5036        14.2538       -2279.23     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0708_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        19       0.686028           3.58       -152.166        10.6993        9.05882        9.65704       -1745.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0714_17_0_230.e9_6.2e9_1.22156e+26_1.dat
        20       0.777843        3.70045       -161.772          15.61        7.58894        10.9579        -1929.3     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a+0.94_288x128x128_IHARM/m_1_1_1/image_a+0.94_0720_17_0_230.e9_6.2e9_1.22156e+26_1.dat
