   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.451215        3.22126        222.948        8.50868        49.8007        31.3828        -4595.9     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1000_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         1       0.671412        3.13197        319.316        6.10918        42.4302        26.2462        -3816.2     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1006_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         2       0.535797        3.35904        284.181        4.16552        17.3546        11.4542       -1854.77     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1012_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         3       0.751421        3.43627        258.862        6.91547        29.4887        19.3927       -2938.22     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1018_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         4       0.939292        3.13993        322.216        10.9233        37.9536        25.8322       -4028.91     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1024_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         5       0.516572        3.16265        319.605        7.44029        20.7336        14.7474       -2331.74     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1030_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         6       0.573546        3.18437        324.541         3.2092        19.3007        12.1245       -1991.03     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1036_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         7       0.521246        3.19719        293.778        10.3287        63.2462        39.6498       -5426.16     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1042_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         8        0.85135        2.94558        311.414        12.5668        30.9972        22.6704       -3473.33     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1048_163_0_230.e9_6.2e9_1.98698e+29_160.dat
         9       0.589361        3.04544        312.923        9.99756        17.5329        14.0697       -2258.75     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1054_163_0_230.e9_6.2e9_1.98698e+29_160.dat
        10       0.514983        3.29309        266.061          7.476        29.1532        19.4479       -2881.86     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1060_163_0_230.e9_6.2e9_1.98698e+29_160.dat
        11       0.612535        3.57136        246.011        5.63209         29.534        18.8642       -2777.97     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1066_163_0_230.e9_6.2e9_1.98698e+29_160.dat
        12       0.435297         3.1971        274.422        8.92295        30.9581        21.0765        -3103.4     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1072_163_0_230.e9_6.2e9_1.98698e+29_160.dat
        13       0.439804        3.20852        280.058        6.94977        16.7698        12.3301        -1989.5     /gpfs/hpu/EHT2/supplementary/M62F05_complement/SANE_a-0.5_288x128x128_IHARM/m_1_1_160/image_a-0.5_1078_163_0_230.e9_6.2e9_1.98698e+29_160.dat
